,Prix
1180,36020
1133,53720
606,9430
1438,23080
1145,30840
809,35510
58,14960
1178,43260
1539,13230
676,46710
27,27480
349,24180
67,19720
1161,33190
1349,11380
308,43440
259,23170
1013,22680
737,12650
422,11980
161,39430
334,34370
345,10880
1201,4870
1082,27280
401,26230
1475,31340
924,50730
1539,46320
275,11880
468,16240
1511,89520
1366,12280
831,44750
64,59160
1495,32050
1332,28040
1261,19250
287,24050
512,22110
343,39790
1143,22370
702,18340
1400,27990
1121,24180
211,22850
205,52620
653,30120
204,9260
1100,31730
1196,35720
384,12390
727,15880
819,29410
266,31490
1064,21830
338,27800
345,34430
1137,15100
1444,23210
1265,35180
363,18590
568,18020
1548,13670
742,19540
284,28870
501,36870
762,52890
275,36880
883,44540
1511,13760
1133,22210
1030,20890
1091,42920
909,42820
286,22110
1322,18280
292,41230
1002,31030
343,7750
7,13760
455,16080
824,31440
1454,12610
1219,23200
7,34750
154,32190
1401,28150
1515,16570
471,26200
676,23740
680,17500
563,22210
1123,21810
968,60460
1510,43180
618,25020
336,27480
1003,41960
321,43980
1085,48030
1520,19230
188,32920
1547,4540
116,27730
381,91370
33,17960
1220,17820
785,37330
136,31870
536,36360
601,21450
196,19200
521,15700
1577,22680
163,23880
349,15940
1522,16600
681,21820
80,32740
1493,13620
1576,10720
1368,9930
816,24810
303,34080
1279,8590
244,31090
166,47180
5,51290
1181,15930
523,12080
355,19510
353,22210
1098,27800
908,18320
263,24960
969,4720
1068,22590
178,15230
1253,29560
590,33260
910,24130
1263,20030
935,17860
821,22490
1386,48270
1259,23260
957,18650
1384,39780
1373,37970
396,14690
524,24740
1012,21640
82,21330
1408,13540
242,20600
801,54010
92,33530
1142,37650
1392,19480
901,52320
397,28860
522,17200
749,46720
195,44790
1565,12980
557,22210
1460,23030
484,23500
490,20440
805,20850
987,13160
1018,16620
1404,8720
50,15990
689,46710
850,10040
465,21280
1069,34090
1232,28730
110,27260
576,28020
55,34140
1196,13890
1169,35520
1586,19760
683,35820
698,12130
294,24620
27,59740
1113,54140
150,47180
1120,52090
1046,23110
1558,16120
821,18170
514,28180
361,11970
1020,42900
1410,22860
1040,22920
562,26790
492,18740
22,28600
907,25740
532,33730
985,19870
431,49040
1533,7070
1242,31250
893,32420
1291,14240
899,22230
402,28110
926,50280
1199,22980
118,34200
11,15500
161,25390
432,17220
1494,32740
298,49540
915,13890
131,28500
738,11860
1518,4230
480,15070
846,15240
1538,67090
85,7640
1526,15720
638,25480
656,26230
