,Prix
1431,37600
1339,28300
275,10060
897,32860
1541,13780
1164,17740
1082,31860
1120,21070
926,47140
1180,19180
244,10530
295,1830
1022,23270
1400,26060
155,14160
1129,7850
718,43900
226,20210
1215,21040
668,26440
249,24990
390,22590
1545,45900
814,41750
330,19660
820,16230
234,11220
910,52070
1415,14970
1043,14360
1385,12400
1097,20770
1109,27540
90,42330
933,26970
653,21090
1264,23780
246,16030
1038,28000
307,11010
1555,54840
1243,28500
1363,26180
141,26890
451,23540
797,13780
18,36920
1200,17530
1056,21570
1421,23700
963,18450
1465,16270
694,22370
85,19360
1523,17530
20,18300
95,22990
767,19260
146,13560
1171,24260
238,15640
172,24090
81,56490
911,31200
520,22120
515,34470
1366,25180
471,20110
925,15840
1254,26710
957,43200
115,40220
1273,21180
754,31480
927,42780
1286,14140
953,30610
383,20310
629,29810
1249,24820
497,39660
1404,9420
1394,23520
1079,26620
525,21680
1243,24820
93,49980
848,25810
22,32680
789,33180
1343,22780
1174,21680
1507,39760
959,46320
398,17750
519,42320
766,20330
199,33660
8,48640
103,22560
733,37840
484,20160
560,47680
132,39760
1009,17910
1411,42570
1426,23520
673,24300
1380,22320
489,25660
1063,37800
1573,13450
115,31850
653,26770
951,48600
1469,24580
440,32490
681,8110
245,25060
336,17860
1084,20320
154,28340
533,31060
466,22860
1022,10620
802,20500
663,6460
709,43380
963,16630
1146,28230
209,22770
471,19420
1026,29670
1159,19600
924,15640
529,33330
1007,25480
760,38120
979,60860
1214,103620
604,37160
1230,25180
915,38040
405,26860
725,9220
1224,17420
1309,31960
325,13320
166,11640
434,8640
1524,16450
987,34950
1438,26310
138,16180
415,23310
1549,40330
478,9980
1355,98880
1519,55440
133,26200
1434,21580
172,28340
891,31230
1134,39420
642,12690
1388,11220
652,38040
526,27580
100,30510
886,26560
1447,25150
1102,9760
14,15320
977,12410
909,26890
86,12370
890,36290
1472,65980
194,27990
1542,51630
848,33320
1251,22530
778,15880
138,28890
1118,5390
1382,32380
1572,38690
94,18280
1462,22380
668,19660
1441,25860
474,27280
1428,29880
1095,11230
757,29150
446,8730
950,33080
1009,12300
1304,21390
832,8170
1058,51430
884,37320
1037,20550
681,45340
1553,19010
1501,17420
740,9220
707,35180
1453,34850
1162,11330
810,5070
1102,19250
1413,14620
1564,37480
783,10650
1351,18000
740,84730
1196,19610
1241,18250
1248,34790
801,21650
59,43490
345,19660
894,30720
644,10250
123,19610
56,33330
817,63720
941,42920
387,10580
978,18410
617,24760
1284,13620
614,40640
748,28060
188,53890
138,92800
1116,37370
186,11650
777,22420
