,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1348,CITROEN BERLINGO 2 MULTISPACE,II (3) 1.6 BLUEHDI 120 S&S SHINE BV6,13880,10,2018,10/03/2018,requis,163 271 Km,Diesel,mécanique,gris clair metal,5,5,3 mois,,,oui,,6 CV,120 ch,2,113 g/kmB,4.3 l/100km,EURO6
1349,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 130 7CV S&S SHINE EAT6,28230,79,2023,25/06/2023,non requis,11 Km,Essence,automatique,blanc verni,5,5,24 mois,,,oui,,7 CV,131 ch,1,142 g/kmD,6.1 l/100km,EURO6
1350,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 130 7CV S&S SHINE EAT6,27480,79,2023,01/08/2023,non requis,11 Km,Essence,automatique,bleu metal,5,5,24 mois,,,oui,,7 CV,131 ch,1,142 g/kmD,6.1 l/100km,EURO6
1351,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.2 PURETECH 130 S&S FEEL PACK EAT8,35580,67,2021,21/06/2021,non requis,29 036 Km,Essence,automatique,blanc,5,5,12 mois,,,oui,,7 CV,130 ch,1,154 g/kmD,7 l/100km,EURO6
1352,CITROEN C4 CACTUS,SHINE PURE TECH 110,16840,57,2022,09/07/2022,non requis,61 452 Km,Essence,mécanique,noir,5,,,,,non,,6 CV,110 ch,,130 g/kmC,,
1353,CITROEN C3 AIRCROSS,SHINE PURE TECH 110,18680,57,2021,14/03/2021,non requis,56 760 Km,Essence,mécanique,noir,5,,,,,non,,6 CV,110 ch,,143 g/kmD,,
1354,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK EAT6,22970,62,2022,23/10/2022,non requis,29 040 Km,Essence,automatique,blanc,5,5,12 mois,en cours,,non,,6 CV,110 ch,1,134 g/kmC,6.1 l/100km,EURO6
1355,CITROEN JUMPER 2,II (2) 35 L3H2 BLUEHDI 140 S&S BVM6 CLUB,40350,59,2022,08/05/2022,non requis,31 590 Km,Diesel,mécanique,BLANC,4,3,,en cours,,oui,,7 CV,140 ch,2,244 g/kmF,,EURO6
1356,CITROEN JUMPY 2,II (2) FOURGON TAILLE XL BLUEHDI 95 BUSINESS,24580,70,2018,16/01/2019,requis,97 293 Km,Diesel,mécanique,blanc nacre,4,3,12 mois,,,oui,1,5 CV,95 ch,2,148 g/kmD,5.2 l/100km,EURO6
1357,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,13840,68,2020,17/01/2021,non requis,103 033 Km,Diesel,mécanique,gris metal,5,5,6 mois,,,oui,1,5 CV,102 ch,2,86 g/kmA,,EURO6
