,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES GLC,(2) 220 D BUSINESS LINE LAUNCH EDITION 4MATIC,65470,24,2021,21/06/2021,non requis,27 280 Km,Diesel,automatique,Noir Métal 197,5,5,12 mois,,,oui,,11 CV,194 ch,2,156 g/kmD,5.9 l/100km,EURO6
1,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT,33080,24,2019,22/06/2019,non requis,77 350 Km,Diesel,automatique,ROUGE,5,5,12 mois,,,oui,,6 CV,116 ch,2,107 g/kmB,4 l/100km,EURO6
2,MERCEDES CLASSE E 5,V 220 D AVANTGARDE LINE 9G-TRONIC,51720,24,2021,08/05/2021,non requis,31 800 Km,Diesel,automatique,argent mojave métal 859,4,5,12 mois,,,oui,,10 CV,194 ch,2,140 g/kmC,5.4 l/100km,EURO6
3,MERCEDES CLASSE E 5 BREAK,V BREAK 220 D EXECUTIVE 9G-TRONIC,44160,24,2019,28/08/2019,non requis,58 080 Km,Diesel,automatique,argent métal,5,5,12 mois,,,oui,,10 CV,194 ch,2,109 g/kmB,4.2 l/100km,EURO6
4,MERCEDES GLC,220 D 10CV BUSINESS EXECUTIVE 4MATIC,43670,24,2019,27/09/2019,non requis,100 040 Km,Diesel,automatique,bleu cavansite métal,5,5,12 mois,,,oui,,10 CV,170 ch,2,155 g/kmD,5.9 l/100km,EURO6
5,MERCEDES CLASSE C 4 CABRIOLET,IV (2) CABRIOLET 200 AMG LINE 9G-TRONIC,48380,24,2020,10/04/2020,non requis,16 200 Km,Essence,automatique,NOIR,2,4,12 mois,,,oui,,10 CV,184 ch,1,,,EURO6
6,MERCEDES CL 2,II COUPE 500 BVA,9220,75,2002,24/11/2002,requis,239 507 Km,Essence,automatique,GRIS,2,4,6 mois,,,non,,23 CV,306 ch,3,,13.4 l/100km,EURO3
7,MERCEDES CLASSE C 3,III (2) 350 CDI BLUEEFFICIENCY AVANTGARDE BA7 7G-TRONIC PLUS,20110,75,2013,14/02/2013,requis,154 749 Km,Diesel,automatique,GRIS,4,5,6 mois,,,non,,16 CV,265 ch,2,154 g/kmD,5.9 l/100km,EURO5
8,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 8G-DCT,42370,03,2022,12/11/2022,non requis,42 875 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,6 CV,116 ch,2,,,EURO6
9,MERCEDES GLA,(2) 200 D 7CV FASCINATION 7G-DCT,33520,03,2019,22/11/2019,non requis,79 506 Km,Diesel,automatique,Non codifie,5,5,24 mois,,Mercedes-Benz Certified,oui,,7 CV,136 ch,2,141 g/kmD,5.2 l/100km,EURO6
10,MERCEDES CLASSE A 4,IV 220 D PROGRESSIVE LINE 8G-DCT,39690,24,2021,13/02/2021,non requis,12 075 Km,Diesel,automatique,ARGENT MOJAVE,5,5,12 mois,,,oui,,10 CV,190 ch,2,131 g/kmC,5 l/100km,EURO6
11,MERCEDES GLC,(2) 200 D BUSINESS LINE,50070,24,2021,18/01/2022,non requis,78 390 Km,Diesel,automatique,GRIS GRAPHITE,5,5,12 mois,,,oui,,9 CV,163 ch,2,154 g/kmD,5.9 l/100km,EURO6
12,MERCEDES GLC,220 D 10CV EXECUTIVE 4MATIC 9G-TRONIC,37230,24,2019,29/09/2019,non requis,114 490 Km,Diesel,automatique,BLANC,5,5,12 mois,,,non,,10 CV,170 ch,2,155 g/kmD,5.9 l/100km,EURO6
13,MERCEDES CLASSE A 4,IV 200 D AMG LINE 8G-DCT,37930,24,2021,11/04/2021,non requis,27 250 Km,Diesel,automatique,blanc polaire 149,5,5,12 mois,,,oui,,8 CV,150 ch,2,131 g/kmC,5 l/100km,EURO6
14,MERCEDES CLASSE C 4,IV 250 BLUETEC SPORTLINE 7G-TRONIC,28010,75,2016,23/04/2016,requis,48 578 Km,Diesel,automatique,GRIS,4,5,6 mois,,,non,,11 CV,204 ch,2,113 g/kmB,4.4 l/100km,EURO5
15,MERCEDES CLASSE A 2,II 180 CDI AVANTGARDE 5P,7250,75,2007,29/09/2007,requis,174 889 Km,Diesel,mécanique,NOIR,5,5,6 mois,,,non,,6 CV,109 ch,3,138 g/kmC,5.2 l/100km,EURO4
16,MERCEDES GLC,220 D 10CV EXECUTIVE 4MATIC 9G-TRONIC,37230,24,2019,29/09/2019,non requis,114 490 Km,Diesel,automatique,BLANC,5,5,12 mois,,,non,,10 CV,170 ch,2,155 g/kmD,5.9 l/100km,EURO6
17,MERCEDES CLASSE E 5,V (2) 300 E AVANTGARDE LINE 9G-TRONIC,65840,24,2021,06/03/2021,non requis,9 440 Km,Hybride essence électrique,automatique,noir metal,4,5,12 mois,,,non,,12 CV,320 ch,1,35 g/kmA,1.5 l/100km,EURO6
18,MERCEDES GLA 2 AMG,II 35 AMG 4MATIC DCT8,78540,24,2021,13/08/2021,non requis,3 150 Km,Essence,automatique,662 GRIS MONTAGNE Magno Designo,5,5,12 mois,,,oui,,19 CV,306 ch,1,191 g/kmE,8.4 l/100km,EURO6
19,MERCEDES GLC,250 D 12CV EXECUTIVE 4MATIC,44170,24,2020,30/11/2020,non requis,106 560 Km,Diesel,automatique,Noir,5,5,12 mois,,,non,,12 CV,204 ch,2,155 g/kmD,5.9 l/100km,EURO6
20,MERCEDES GLB,200 D PROGRESSIVE LINE LAUNCH EDITION,51070,24,2022,12/02/2022,non requis,37 620 Km,Diesel,automatique,blanc polaire 149,5,5,12 mois,en cours,,oui,,8 CV,150 ch,2,,,EURO6
21,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 7G-DCT 100G,31410,24,2021,01/01/2022,non requis,47 460 Km,Diesel,automatique,GRIS MONTAGNE,5,5,12 mois,,,non,,6 CV,116 ch,2,118 g/kmB,4.5 l/100km,EURO6
22,MERCEDES GLB,200 D PROGRESSIVE LINE LAUNCH EDITION,67400,24,2022,21/01/2023,non requis,14 760 Km,Diesel,automatique,blanc numérique métal144,5,5,12 mois,en cours,,oui,,8 CV,150 ch,2,,,EURO6
