,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 508 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE EAT8,26620,24,2020,09/07/2020,non requis,46 731 Km,Diesel,automatique,VERT,5,5,12 mois,,,non,2,6 CV,131 ch,2,92 g/kmA,3.8 l/100km,EURO6
1,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE PACK,27150,69,2022,10/05/2022,non requis,23 742 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,non,2,7 CV,131 ch,1,127 g/kmC,5.6 l/100km,EURO6
2,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,20170,78,2020,16/07/2020,non requis,137 292 Km,Diesel,automatique,marron,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,101 g/kmB,4 l/100km,EURO6
3,PEUGEOT 208,(2) 1.5 BLUEHDI 100 S&S ACTIVE 5P E6,10780,78,2019,26/07/2019,non requis,117 276 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,non,2,5 CV,102 ch,2,95 g/kmA,3.6 l/100km,EURO6
4,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS,17270,78,2020,20/01/2021,non requis,67 164 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,97 g/kmA,3.7 l/100km,EURO6
5,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE,30780,13,2022,14/03/2022,non requis,46 295 Km,Essence,mécanique,Blanc Nacré (N),5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,1,140 g/kmC,6.2 l/100km,EURO6
6,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH S&S 130 ACTIVE,27300,87,2019,11/12/2019,non requis,44 804 Km,Essence,mécanique,NOIR,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,117 g/kmB,5.2 l/100km,EURO6
7,PEUGEOT RIFTER,LONG 1.5 BLUEHDI 130 S&S GT LINE EAT8,37890,87,2020,11/04/2020,non requis,55 965 Km,Diesel,automatique,gris artense,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,113 g/kmB,4.3 l/100km,EURO6
8,PEUGEOT 308 (2E GENERATION),II 1.6 THP 125 ALLURE,15370,87,2014,06/11/2014,requis,147 354 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,non,,7 CV,125 ch,1,125 g/kmC,5.4 l/100km,EURO5
9,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE BUSINESS EAT8,34140,87,2020,10/06/2020,non requis,39 813 Km,Essence,automatique,NOIR PERLA,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,109 g/kmB,5.1 l/100km,EURO6
