,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C3 AIRCROSS,SHINE 1.5 BLUEHDI 120CH AUTOMATIQUE,18110,77,2019,15/12/2019,non requis,82 633 Km,Diesel,automatique,gris,5,,12 mois,,,non,,6 CV,120 ch,,102 g/kmB,,
1,CITROEN C4 PICASSO 2,II 1.6 BLUEHDI 120 S&S 94G BUSINESS,13270,59,2018,08/06/2018,requis,205 619 Km,Diesel,mécanique,blanc,5,5,6 mois,,SPOTICAR,non,2,6 CV,120 ch,2,94 g/kmA,3.3 l/100km,EURO6
2,CITROEN JUMPY 3 FOURGON,III TAILLE M BLUEHDI 115 S&S BUSINESS BV6,24580,77,2019,01/11/2019,non requis,72 612 Km,Diesel,mécanique,BLANC,4,3,12 mois,,SPOTICAR,non,,5 CV,115 ch,2,137 g/kmC,5.2 l/100km,EURO6
3,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,18640,91,2022,27/02/2022,non requis,36 540 Km,Essence,mécanique,BLEU F,5,5,12 mois,en cours,SPOTICAR,oui,,4 CV,83 ch,1,123 g/kmC,5.7 l/100km,EURO6
4,CITROEN C5 AIRCROSS,(2) 1.6 HYBRIDE RECHARGEABLE 225 SHINE PACK E-EAT8,39540,76,2021,05/08/2021,non requis,33 202 Km,Hybride essence électrique,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,10 CV,181 ch,1,32 g/kmA,,EURO6
5,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S 4CV FEEL 5P,13660,76,2021,20/08/2021,non requis,23 356 Km,Essence,mécanique,blanc,5,4,12 mois,,SPOTICAR,oui,1,4 CV,72 ch,1,110 g/kmB,4.8 l/100km,EURO6
6,CITROEN BERLINGO 3,III TAILLE M 650KG BLUEHDI 75 CLUB,16140,31,2019,05/12/2019,non requis,113 582 Km,Diesel,mécanique,blanc,5,3,8 mois,,SPOTICAR,oui,1,5 CV,75 ch,2,112 g/kmB,3.8 l/100km,EURO6
7,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S FEEL BV6,25740,76,2021,01/07/2021,non requis,79 304 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,137 g/kmC,5.2 l/100km,EURO6
8,CITROEN C5 (2E GENERATION) TOURER,II TOURER 1.6 HDI 110 FAP DYNAMIQUE,8860,31,2010,15/09/2010,requis,133 104 Km,Diesel,mécanique,gris,5,5,6 mois,,SPOTICAR,oui,1,6 CV,109 ch,3,150 g/kmD,4.8 l/100km,EURO4
9,CITROEN C4 (2E GENERATION),II 1.6 E-HDI 115 CONFORT,9840,31,2015,02/06/2015,requis,127 787 Km,Diesel,mécanique,gris,5,5,6 mois,,SPOTICAR,oui,1,5 CV,114 ch,2,97 g/kmA,3.4 l/100km,EURO5
10,CITROEN DS3,1.6 VTI 120 SO CHIC,11260,13,2011,03/11/2011,requis,66 505 Km,Essence,mécanique,gris,3,5,6 mois,,SPOTICAR,non,3,7 CV,120 ch,1,138 g/kmC,4.9 l/100km,EURO5
11,CITROEN C4 PICASSO 2,II (2) 2.0 BLUEHDI 150 S&S SHINE EAT6,18550,76,2017,02/01/2018,requis,161 726 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,non,2,8 CV,150 ch,2,112 g/kmB,3.9 l/100km,EURO6
12,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S ORIGINS BV6,21260,76,2020,22/01/2021,non requis,23 762 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,104 g/kmB,4.8 l/100km,EURO6
13,CITROEN C4 (2E GENERATION),II 1.6 HDI 90 FAP CONFORT,11840,13,2014,15/02/2014,requis,98 210 Km,Diesel,mécanique,bleu,5,5,8 mois,,SPOTICAR,non,2,5 CV,93 ch,2,106 g/kmB,3.6 l/100km,EURO5
14,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 SHINE 3P,13780,13,2019,11/05/2019,non requis,48 582 Km,Essence,mécanique,rouge,5,4,12 mois,,SPOTICAR,non,2,4 CV,72 ch,1,93 g/kmA,4.1 l/100km,EURO6
15,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV FEEL BV6,26160,13,2021,29/01/2022,non requis,44 425 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,138 g/kmC,5.2 l/100km,EURO6
16,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV FEEL EAT8,30720,27,2021,10/08/2021,non requis,61 250 Km,Diesel,automatique,Noir Perla Nera,5,5,12 mois,,,non,,7 CV,131 ch,2,137 g/kmC,5.3 l/100km,EURO6
17,CITROEN JUMPY 3 FOURGON,III TAILLE XS BLUEHDI 115 S&S BUSINESS BV6,26200,81,2019,11/05/2019,non requis,64 533 Km,Diesel,mécanique,Blanc,4,3,12 mois,,SPOTICAR,oui,1,5 CV,116 ch,2,133 g/kmC,4.9 l/100km,EURO6
18,CITROEN C3 AIRCROSS,1.2 PURETECH 130 S&S SHINE EAT6,24380,33,2020,25/06/2020,non requis,8 829 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,1,108 g/kmB,5 l/100km,EURO6
19,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,24500,94,2023,07/01/2024,non requis,9 253 Km,Essence,automatique,noir,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,132 g/kmC,5.9 l/100km,EURO6
20,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE EAT6,19410,75,2019,10/03/2019,non requis,31 419 Km,Essence,automatique,blanc,5,5,12 mois,,SPOTICAR,non,2,6 CV,110 ch,1,126 g/kmC,4.8 l/100km,EURO6
21,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES,17740,94,2022,15/06/2022,non requis,15 880 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.3 l/100km,EURO6
22,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,17410,44,2022,05/02/2022,non requis,56 684 Km,Diesel,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,5 CV,102 ch,2,112 g/kmB,4.2 l/100km,EURO6
23,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S JCC+ 5P,14480,92,2022,07/05/2022,non requis,28 735 Km,Essence,mécanique,gris,5,4,12 mois,en cours,SPOTICAR,oui,1,4 CV,72 ch,1,110 g/kmB,4.8 l/100km,EURO6
24,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES,19500,94,2022,19/06/2022,non requis,19 332 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.3 l/100km,EURO6
25,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,16530,44,2020,09/05/2020,non requis,29 621 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
26,CITROEN C5 AIRCROSS,(2) 1.6 HYBRIDE RECHARGEABLE 225 SHINE E-EAT8,37680,44,2023,24/11/2023,non requis,26 395 Km,Hybride essence électrique,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,10 CV,181 ch,1,32 g/kmA,,EURO6
27,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,17950,44,2022,13/08/2022,non requis,54 603 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,124 g/kmC,5.7 l/100km,EURO6
28,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,16140,44,2023,24/02/2023,non requis,19 861 Km,Essence,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,122 g/kmC,5.3 l/100km,EURO6
29,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S SHINE,18700,75,2021,24/04/2021,non requis,17 284 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
30,CITROEN C3 AIRCROSS,1.2 PURETECH 130 S&S SHINE EAT6,25280,75,2020,19/07/2020,non requis,16 239 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,1,108 g/kmB,5 l/100km,EURO6
31,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S 5CV SHINE EAT6,19190,75,2020,15/09/2020,non requis,60 241 Km,Essence,automatique,vert,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,105 g/kmB,4.3 l/100km,EURO6
32,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,17950,44,2022,13/08/2022,non requis,54 603 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,124 g/kmC,5.7 l/100km,EURO6
33,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,16140,44,2023,24/02/2023,non requis,19 861 Km,Essence,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,122 g/kmC,5.3 l/100km,EURO6
34,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK BV6,18510,30,2022,22/04/2022,non requis,39 122 Km,Essence,mécanique,Noir,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,126 g/kmC,5.8 l/100km,EURO6
35,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S GRAPHIC,12940,84,2020,26/09/2020,non requis,75 356 Km,Essence,mécanique,Blanc,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,106 g/kmB,4.7 l/100km,EURO6
36,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.2 PURETECH 110 S&S FEEL BV6,22990,94,2019,25/11/2019,non requis,123 776 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,2,6 CV,110 ch,1,119 g/kmB,5.5 l/100km,EURO6
37,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S 4CV SHINE 5P,15410,75,2022,14/12/2022,non requis,3 545 Km,Essence,mécanique,noir,5,4,12 mois,,SPOTICAR,oui,1,4 CV,72 ch,1,110 g/kmB,,EURO6
38,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,15430,94,2020,18/09/2020,non requis,15 344 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,2,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
39,CITROEN C5 AIRCROSS,2.0 BLUEHDI 180 S&S SHINE EAT8,33220,61,2020,22/11/2020,non requis,33 294 Km,Diesel,automatique,Blanc Métal,5,5,12 mois,,,non,,9 CV,177 ch,2,124 g/kmC,4.8 l/100km,EURO6
40,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,22120,89,2022,01/01/2023,non requis,41 350 Km,Diesel,mécanique,Gris Foncé Métal,5,5,12 mois,en cours,SPOTICAR,non,,5 CV,102 ch,2,112 g/kmB,4.2 l/100km,EURO6
41,CITROEN C5 AIRCROSS,1.6 PURETECH 180 S&S SHINE EAT8,30010,92,2020,14/01/2021,non requis,45 676 Km,Essence,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,10 CV,181 ch,1,128 g/kmC,5.7 l/100km,EURO6
42,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,18980,92,2022,27/01/2023,non requis,48 861 Km,Diesel,mécanique,blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,5 CV,102 ch,2,111 g/kmB,4.2 l/100km,EURO6
43,CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S FEEL BV6,14980,92,2019,31/03/2019,non requis,107 952 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,97 g/kmA,4 l/100km,EURO6
44,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,21640,92,2021,01/02/2022,non requis,43 828 Km,Essence,automatique,bleu,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,133 g/kmC,6 l/100km,EURO6
45,CITROEN C3 (2E GENERATION),II (2) 1.2 VTI 82 COLLECTION,10960,75,2014,08/05/2014,requis,67 426 Km,Essence,mécanique,rouge,5,5,8 mois,,SPOTICAR,oui,1,4 CV,82 ch,1,107 g/kmB,4.1 l/100km,EURO5
46,CITROEN C4 PICASSO 2,II 1.6 E-HDI 115 EXCLUSIVE ETG6,16500,75,2016,18/10/2016,requis,89 252 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,oui,2,6 CV,116 ch,2,105 g/kmB,3.8 l/100km,EURO5
47,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,17530,94,2022,26/03/2022,non requis,46 350 Km,Diesel,mécanique,beige,5,5,12 mois,en cours,SPOTICAR,oui,1,5 CV,102 ch,2,111 g/kmB,4.2 l/100km,EURO6
48,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,15430,94,2020,18/09/2020,non requis,15 344 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,2,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
49,CITROEN C4 PICASSO 2,II (2) 2.0 BLUEHDI 150 S&S SHINE BV6,19700,94,2017,01/12/2017,requis,81 536 Km,Diesel,mécanique,bleu,5,5,12 mois,,SPOTICAR,oui,1,7 CV,150 ch,2,106 g/kmB,3.7 l/100km,EURO6
50,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,21640,75,2022,18/01/2023,non requis,41 812 Km,Essence,automatique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,133 g/kmC,6 l/100km,EURO6
51,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S FEEL,18580,75,2020,28/04/2020,non requis,4 331 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,non,2,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
52,CITROEN C4 PICASSO 2,II 1.6 THP 155 INTENSIVE BV6,15100,94,2015,15/01/2016,requis,137 627 Km,Essence,mécanique,gris,5,5,8 mois,,SPOTICAR,oui,1,8 CV,156 ch,1,137 g/kmC,4.7 l/100km,EURO5
53,CITROEN C4 CACTUS,(2) 1.2 PURETECH 130 S&S SHINE BV6,20150,75,2020,24/10/2020,non requis,44 265 Km,Essence,mécanique,vert,5,5,12 mois,,SPOTICAR,oui,2,7 CV,131 ch,1,112 g/kmB,5 l/100km,EURO6
54,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,24360,75,2022,30/09/2022,non requis,48 166 Km,Essence,automatique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,133 g/kmC,6 l/100km,EURO6
55,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE,18430,94,2019,12/06/2019,non requis,46 739 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,103 g/kmB,4 l/100km,EURO6
56,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,14280,75,2021,01/09/2021,non requis,65 886 Km,Diesel,mécanique,noir,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,117 g/kmB,4.4 l/100km,EURO6
57,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S GRAPHIC,12940,84,2020,26/09/2020,non requis,75 356 Km,Essence,mécanique,Blanc,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,106 g/kmB,4.7 l/100km,EURO6
58,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S ORIGINS,17230,44,2020,16/04/2020,non requis,30 395 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
59,CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S FEEL BV6,13250,44,2019,27/06/2019,non requis,104 343 Km,Diesel,mécanique,bleu,5,5,12 mois,,SPOTICAR,non,2,5 CV,102 ch,2,97 g/kmA,4 l/100km,EURO6
60,CITROEN C5 AIRCROSS,1.6 PURETECH 180 S&S SHINE EAT8,34780,44,2021,13/11/2021,non requis,33 062 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,non,2,10 CV,181 ch,1,128 g/kmC,5.7 l/100km,EURO6
61,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE,18860,44,2020,11/09/2020,non requis,30 853 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,non,2,5 CV,110 ch,1,106 g/kmB,4.7 l/100km,EURO6
62,CITROEN C4 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S MILLENIUM BV6,15650,44,2018,26/08/2018,requis,43 819 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,1,107 g/kmB,4 l/100km,EURO6
63,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,13950,59,2021,02/03/2021,non requis,65 061 Km,Diesel,mécanique,beige,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,115 g/kmB,4.4 l/100km,EURO6
64,CITROEN C4 CACTUS,(2) 1.2 PURETECH 110 S&S SHINE,18400,59,2020,14/03/2020,non requis,54 605 Km,Essence,mécanique,violet,5,5,12 mois,,SPOTICAR,oui,1,5 CV,110 ch,1,106 g/kmB,4.6 l/100km,EURO6
65,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 75 S&S SHINE BUSINESS,13210,59,2018,27/02/2018,requis,130 362 Km,Diesel,mécanique,gris,5,5,8 mois,,SPOTICAR,non,3,4 CV,75 ch,2,93 g/kmA,3.2 l/100km,EURO6
66,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV SHINE EAT8,33960,59,2021,02/05/2021,non requis,75 615 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,137 g/kmC,4.9 l/100km,EURO6
67,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S FEEL BV6,28730,59,2020,11/10/2020,non requis,46 474 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,100 g/kmA,4.1 l/100km,EURO6
68,CITROEN BERLINGO 2 MULTISPACE,II (3) 1.6 BLUEHDI 100 FEEL,30120,59,2019,04/01/2020,non requis,58 406 Km,Diesel,mécanique,vert,5,7,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,112 g/kmB,4.3 l/100km,EURO6
69,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,13950,59,2021,02/03/2021,non requis,65 061 Km,Diesel,mécanique,beige,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,115 g/kmB,4.4 l/100km,EURO6
70,CITROEN C4 PICASSO 2,II (2) 1.6 BLUEHDI 120 S&S FEEL BV6,17100,80,2017,29/10/2017,requis,82 294 Km,Diesel,mécanique,Sable (N),5,5,12 mois,,SPOTICAR,oui,,6 CV,120 ch,2,100 g/kmA,3.8 l/100km,EURO6
71,CITROEN C5 AIRCROSS,(2) 1.6 HYBRIDE RECHARGEABLE 225 SHINE PACK E-EAT8,51560,31,2023,07/04/2023,non requis,6 359 Km,Hybride essence électrique,automatique,Blanc,5,5,24 mois,,SPOTICAR,oui,1,10 CV,181 ch,1,32 g/kmA,,EURO6
72,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES,19060,91,2021,08/07/2021,non requis,35 754 Km,Essence,mécanique,Blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,131 g/kmC,5.8 l/100km,EURO6
73,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,14030,91,2020,13/05/2020,non requis,12 394 Km,Essence,mécanique,Bleu,5,4,12 mois,,SPOTICAR,oui,1,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
74,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S SHINE PACK EAT8,41160,45,2022,02/06/2022,non requis,35 526 Km,Diesel,automatique,Blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,7 CV,131 ch,2,140 g/kmC,5.2 l/100km,EURO6
75,CITROEN JUMPER 2,II (2) 33 L2H2 BLUEHDI 140 S&S BVM6 DRIVER,35730,25,2021,26/12/2021,non requis,51 533 Km,Diesel,mécanique,Blanc,4,3,12 mois,,SPOTICAR,oui,1,7 CV,140 ch,2,241 g/kmF,,EURO6
76,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S C-SERIES BV6,27580,64,2023,08/07/2023,non requis,12 Km,Essence,mécanique,NOIR,5,5,,,,non,,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
77,CITROEN C5 X,1.6 HYBRID 225 S&S SHINE E-EAT8,53660,64,2023,21/12/2023,non requis,244 Km,Hybride essence électrique,automatique,NOIR PERLA NERA,5,5,,,,non,,10 CV,225 ch,1,30 g/kmA,,EURO6
78,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK EAT6,22790,95,2022,20/12/2022,non requis,38 429 Km,Essence,automatique,Gris Acier (M) - Noir Onyx,5,5,12 mois,en cours,SPOTICAR,non,,6 CV,110 ch,1,134 g/kmC,6.1 l/100km,EURO6
79,CITROEN JUMPY 3 FOURGON,III 2.0 FOURGON XL BLUEHDI 145 S&S BVM6 CLUB,43380,64,2023,14/12/2023,non requis,12 Km,Diesel,mécanique,BLANC BANQUISE,4,3,,,,non,,7 CV,145 ch,2,196 g/kmE,7.2 l/100km,EURO6
80,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,17340,61,2022,02/09/2022,non requis,98 828 Km,Essence,mécanique,noir,5,5,12 mois,en cours,,oui,1,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
81,CITROEN C4 (3E GENERATION),1.2 PURETECH 130 EAT 8 SHINE + PACK DRIVE ASSIST+VOLANT,29810,19,2022,04/06/2022,non requis,49 861 Km,Essence,automatique,bleu,5,,,,,non,,7 CV,131 ch,,130 g/kmC,,
82,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 FEEL,14590,54,2019,05/01/2020,non requis,24 827 Km,Essence,mécanique,Vert,5,5,6 mois,,,oui,1,4 CV,82 ch,1,109 g/kmB,4.1 l/100km,EURO6
83,CITROEN C3 AIRCROSS,BLUEHDI 120CH S&S SHINE EAT6,31070,44,2023,18/10/2023,non requis,10 Km,Diesel,automatique,Noir Perla Nera (M),5,,12 mois,,,non,,6 CV,120 ch,,132 g/kmC,,
84,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S ORIGINS BV6,18680,44,2020,08/03/2020,non requis,44 498 Km,Essence,mécanique,Natural White (O) - Perla Nera,5,5,12 mois,,,oui,1,5 CV,110 ch,1,104 g/kmB,4.8 l/100km,EURO6
85,CITROEN C3 ENTREPRISE (3E GENERATION),III ENTREPRISE 1.5 BLUEHDI 100 S&S FEEL BUSINESS R BV6,11940,44,2020,27/02/2020,non requis,140 107 Km,Diesel,mécanique,Blanc,5,2,12 mois,,,oui,1,5 CV,102 ch,2,86 g/kmA,3.8 l/100km,EURO6
86,CITROEN GRAND C4 SPACETOURER,1.2 PURETECH 130 S&S FEEL BV6,26750,44,2020,25/01/2021,non requis,75 311 Km,Essence,mécanique,Gris Acier (M),5,7,12 mois,,,non,2,7 CV,131 ch,1,116 g/kmB,5 l/100km,EURO6
87,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK BV6,20510,73,2022,12/10/2022,non requis,36 851 Km,Essence,mécanique,Gris Acier (M) - Noir Onyx,5,5,12 mois,en cours,SPOTICAR,non,,6 CV,110 ch,1,125 g/kmC,5.8 l/100km,EURO6
88,CITROEN C4 CACTUS,1.2 PURETECH 110 S&S SHINE EAT6,17540,24,2018,15/01/2019,non requis,109 499 Km,Essence,automatique,Gris Platinium,5,5,12 mois,,,non,,5 CV,110 ch,1,105 g/kmB,4.6 l/100km,EURO6
89,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL BV6,16450,14,2022,06/02/2022,non requis,74 375 Km,Diesel,mécanique,Blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,5 CV,102 ch,2,111 g/kmB,4.2 l/100km,EURO6
90,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES BVM5,21020,14,2023,21/05/2023,non requis,11 Km,Essence,mécanique,Noir,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.4 l/100km,EURO6
