,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1311,MERCEDES CLA,(2) 250 FASCINATION 7G-DCT,32140,95,2019,18/09/2019,non requis,98 100 Km,Essence,automatique,blanc nacre,4,5,12 mois,,,oui,2,12 CV,211 ch,1,155 g/kmD,6.8 l/100km,EURO6
1312,MERCEDES GLA,220 D FASCINATION 4MATIC 7G-DCT,29360,91,2019,17/10/2019,non requis,124 677 Km,Diesel,automatique,bleu,5,5,6 mois,,,oui,1,9 CV,177 ch,2,115 g/kmB,3.9 l/100km,EURO6
1313,MERCEDES CLASSE B 3,III 180 D STYLE LINE EDITION 7G-DCT,30730,31,2020,29/08/2020,non requis,60 994 Km,Diesel,automatique,GRIS F,5,5,6 mois,,,non,,6 CV,116 ch,2,100 g/kmA,3.8 l/100km,EURO6
1314,MERCEDES CLASSE A 4 BERLINE,IV BERLINE 180 PROGRESSIVE LINE 7G-DCT,39790,06,2022,09/12/2022,non requis,25 270 Km,Essence,automatique,gris,4,5,24 mois,en cours,Mercedes-Benz Certified,oui,1,7 CV,136 ch,1,136 g/kmC,5.9 l/100km,EURO6
1315,MERCEDES GLC,350 E FASCINATION 4MATIC,51900,92,2019,01/06/2019,non requis,78 741 Km,Hybride essence électrique,automatique,noir,5,5,12 mois,,,oui,1,10 CV,211 ch,1,59 g/kmA,,EURO6
1316,MERCEDES CLASSE C 4 SW,IV (2) SW 220 D AMG LINE 9G-TRONIC,53980,69,2022,22/12/2022,non requis,11 256 Km,Diesel,automatique,Gris,5,5,24 mois,en cours,Mercedes Millétoile,non,,10 CV,194 ch,2,137 g/kmC,5.2 l/100km,EURO6
1317,MERCEDES SPRINTER 3,III 2.0 FOURGON 315 CDI 37 3.5T RWD FIRST,38030,57,2022,13/10/2022,non requis,52 502 Km,Diesel,mécanique,Blanc,4,3,12 mois,,,oui,,5 CV,150 ch,2,237 g/kmF,9.3 l/100km,EURO6
1318,MERCEDES SLK,200,9760,78,2000,11/09/2000,requis,103 327 Km,Essence,mécanique,gris clair,2,2,,,,non,5,9 CV,136 ch,3,217 g/kmF,6.9 l/100km,EURO2
1319,MERCEDES CLASSE C 4 CABRIOLET,IV (2) CABRIOLET 220 D 9G-TRONIC AMG LINE,81120,84,2022,24/04/2022,non requis,12 375 Km,Diesel,automatique,ARGENT IRRIDIUM,2,4,24 mois,,Mercedes-Benz Certified,non,,11 CV,194 ch,2,137 g/kmC,5.2 l/100km,EURO6
1320,MERCEDES CLASSE A 3,III 180 CDI FASCINATION 7G-DCT,20500,78,2014,19/03/2014,requis,135 538 Km,Diesel,automatique,Noir Cosmos,5,5,8 mois,,SPOTICAR,non,,6 CV,109 ch,2,116 g/kmB,4.4 l/100km,EURO5
1321,MERCEDES CLASSE C 4,IV 180 D SPORTLINE,24520,02,2019,01/02/2020,non requis,95 043 Km,Diesel,mécanique,2197 Noir obsidienne métallisé,4,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,116 ch,2,106 g/kmB,4.1 l/100km,EURO6
1322,MERCEDES GLB,200 D AMG LINE,50200,64,2021,17/10/2021,non requis,84 182 Km,Diesel,automatique,ARGENT IRIDIUM,5,7,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,148 g/kmD,5.7 l/100km,EURO6
1323,MERCEDES CLASSE M 3,III 250 BLUETEC 4MATIC SPORT 7G-TRONIC,30790,69,2014,17/05/2014,requis,121 872 Km,Diesel,automatique,gris clair,5,5,12 mois,,,non,2,12 CV,204 ch,2,165 g/kmE,5.6 l/100km,EURO6
1324,MERCEDES GLC,(2) 220 D AMG LINE LAUNCH EDITION 4MATIC,50280,53,2020,24/06/2020,non requis,71 742 Km,Diesel,automatique,Gris sélénite métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,11 CV,194 ch,2,139 g/kmC,6 l/100km,EURO6
1325,MERCEDES SPRINTER 3,III 314 CDI FOURGON 37 3.5T PRO PROP LOURD BVA7,58010,72,2022,13/02/2022,non requis,61 707 Km,Diesel,automatique,Gris,4,3,24 mois,en cours,Mercedes-Benz Certified,non,,6 CV,143 ch,2,,,EURO6
1326,MERCEDES CLASSE A 3,III 200 CDI 2.1 FASCINATION,19260,07,2016,05/02/2016,requis,163 020 Km,Diesel,mécanique,BLANC,5,5,12 mois,,,non,,7 CV,136 ch,2,116 g/kmB,4.5 l/100km,EURO5
1327,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT,35810,69,2019,08/10/2019,non requis,39 600 Km,Diesel,automatique,noir,5,5,12 mois,,,non,3,6 CV,116 ch,2,107 g/kmB,4 l/100km,EURO6
