,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
40,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT 100G,34760,59,2021,25/09/2021,non requis,56 604 Km,Diesel,automatique,BLANC POLAIRE,5,5,24 mois,,Mercedes-Benz Certified,oui,,6 CV,116 ch,2,119 g/kmB,4.5 l/100km,EURO6
41,MERCEDES GLC,250 D SPORTLINE 4MATIC,40550,59,2019,17/06/2019,non requis,72 225 Km,Diesel,automatique,Blanc,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,204 ch,2,129 g/kmC,5 l/100km,EURO6
42,MERCEDES CLASSE C 4 SW,IV SW 180 D EXECUTIVE,25910,59,2017,11/08/2017,requis,105 096 Km,Diesel,mécanique,BLANC,5,5,12 mois,,Mercedes Millétoile,non,,6 CV,116 ch,2,111 g/kmB,4.4 l/100km,EURO6
43,MERCEDES CLASSE C 4,IV (2) 200 AMG LINE 9G-TRONIC,41280,34,2020,01/05/2020,non requis,82 994 Km,Essence,automatique,noir,4,5,3 mois,,,non,3,10 CV,184 ch,1,136 g/kmC,6.4 l/100km,EURO6
44,MERCEDES CLASSE C 4 CABRIOLET,IV (2) CABRIOLET 220 D 9G-TRONIC AMG LINE,53460,59,2022,20/04/2022,non requis,14 073 Km,Diesel,automatique,NOIR OBSIDIENNE,2,4,24 mois,,Mercedes-Benz Certified,oui,,11 CV,194 ch,2,137 g/kmC,5.2 l/100km,EURO6
45,MERCEDES CLASSE C 3 COUPE,III COUPE 220 CDI BLUEEFFICIENCY EXECUTIVE,18080,19,2014,16/05/2014,requis,175 578 Km,Diesel,mécanique,gris clair,2,4,6 mois,,,non,4,9 CV,170 ch,2,123 g/kmC,3.9 l/100km,EURO5
46,MERCEDES CLASSE C 3,III (2) 180 CDI BLUEEFFICIENCY AVANTGARDE 7G-TRONIC,18280,19,2014,07/07/2014,requis,189 207 Km,Diesel,automatique,gris clair,4,5,6 mois,,,non,3,7 CV,120 ch,2,135 g/kmC,4.5 l/100km,EURO5
47,MERCEDES CLASSE B 3,III 180 D STYLE LINE 7G-DCT,28500,35,2020,21/12/2020,non requis,112 474 Km,Diesel,automatique,noir,5,5,6 mois,,,oui,1,6 CV,116 ch,2,100 g/kmA,3.9 l/100km,EURO6
48,MERCEDES GLB,200 D AMG LINE,57020,81,2022,20/09/2022,non requis,40 699 Km,Diesel,automatique,BLANC POLAIRE,5,7,,en cours,,non,,8 CV,150 ch,2,148 g/kmD,5.7 l/100km,EURO6
49,MERCEDES CLASSE C 4 SW,IV (2) SW 220 D AMG LINE 9G-TRONIC,39760,81,2020,16/01/2021,non requis,102 208 Km,Diesel,automatique,GRIS GRAPHITE,5,5,,,,non,,10 CV,194 ch,2,117 g/kmB,4.4 l/100km,EURO6
50,MERCEDES GLE 2,II 300 D 4MATIC AMG LINE,72330,22,2020,28/01/2021,non requis,102 589 Km,Diesel,automatique,Gris sélénite métallisé (992),5,5,24 mois,,Mercedes-Benz Certified,non,,15 CV,245 ch,2,159 g/kmD,7.5 l/100km,EURO6
51,MERCEDES CLA SHOOTING BRAKE AMG,SHOOTING BRAKE 45 AMG 381 4MATIC 7G-DCT,35820,65,2016,04/07/2016,requis,112 997 Km,Essence,automatique,BLANC,5,5,6 mois,,,non,,26 CV,381 ch,1,161 g/kmE,6.9 l/100km,EURO6
52,MERCEDES GLA,200 FASCINATION 7G-DCT,32280,78,2018,07/11/2018,requis,86 299 Km,Essence,automatique,Gris montagne,5,5,12 mois,,,non,,8 CV,156 ch,1,135 g/kmC,5.8 l/100km,EURO6
53,MERCEDES EQB,250 AMG LINE 66KWH,69320,92,2023,08/07/2023,non requis,1 026 Km,Electrique,automatique,Noir cosmos métallisé,5,7,24 mois,,Mercedes-Benz Certified,non,,8 CV,190 ch,0,0 g/kmA,,EURO6
