,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES GLC COUPE,(2) 220 D 4MATIC AMG LINE 9G-TRONIC,93100,66,2023,29/03/2023,non requis,12 Km,Diesel,automatique,Gris sélénite magno designo,5,5,,,,oui,,11 CV,194 ch,2,152 g/kmD,5.8 l/100km,EURO6
1,MERCEDES GLC COUPE,(2) 220 D 4MATIC AMG LINE 9G-TRONIC,96670,66,2023,27/09/2023,non requis,24 Km,Diesel,automatique,Gris sélénite magno designo,5,5,,,,non,,11 CV,194 ch,2,152 g/kmD,5.8 l/100km,EURO6
2,MERCEDES GLC COUPE,(2) 220 D 4MATIC AMG LINE 9G-TRONIC,93480,66,2023,09/11/2023,non requis,12 Km,Diesel,automatique,Gris sélénite métallisé,5,5,,,,oui,,11 CV,194 ch,2,152 g/kmD,5.8 l/100km,EURO6
3,MERCEDES CLASSE C 5 SW,V SW 300 E AMG LINE 9G-TRONIC,86280,66,2023,15/11/2023,non requis,18 Km,Hybride essence électrique,automatique,Noir obsidienne métallisé,5,5,,,,non,,11 CV,204 ch,1,12 g/kmA,,EURO6
4,MERCEDES CLASSE B 3,III 250 E AMG LINE EDITION 8G-DCT,59840,31,2023,30/04/2023,non requis,9 690 Km,Hybride essence électrique,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,160 ch,1,23 g/kmA,,EURO6
5,MERCEDES GLC,(2) 220 D AMG LINE 4MATIC BVA9,53410,78,2020,28/09/2020,non requis,79 492 Km,Diesel,automatique,Argent mojave métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,11 CV,194 ch,2,139 g/kmC,6 l/100km,EURO6
6,MERCEDES GLA 2,II 200 D PROGRESSIVE LINE 8G-DCT,48720,28,2022,05/10/2022,non requis,8 911 Km,Diesel,automatique,Bleu denim métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,138 g/kmC,5.3 l/100km,EURO6
7,MERCEDES GLA 2,II 200 D AMG LINE DCT,46970,03,2021,28/04/2021,non requis,39 580 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,150 ch,2,142 g/kmD,5.4 l/100km,EURO6
8,MERCEDES SLK 2,II 200 K BVA,14600,44,2007,17/12/2007,requis,129 651 Km,Essence,automatique,NOIR,2,2,6 mois,,,non,,10 CV,163 ch,2,211 g/kmF,8.8 l/100km,EURO4
9,MERCEDES CLASSE A 4,IV 160 STYLE LINE,28480,24,2020,24/10/2020,non requis,42 864 Km,Essence,mécanique,Noir,5,5,24 mois,,Mercedes-Benz Certified,non,,6 CV,109 ch,1,127 g/kmC,5.9 l/100km,EURO6
10,MERCEDES CLASSE B 2,II (2) 180 SPORT EDITION BVA7,27590,16,2019,07/12/2019,non requis,33 528 Km,Essence,automatique,Gris Montagne,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,122 ch,1,138 g/kmC,6 l/100km,EURO6
11,MERCEDES CLASSE C 4,IV 180 BLUETEC SPORTLINE,21370,77,2015,30/08/2015,requis,72 804 Km,Diesel,mécanique,GRIS C,4,5,12 mois,,,non,,6 CV,116 ch,2,109 g/kmB,4.4 l/100km,EURO5
12,MERCEDES GLC AMG,63 AMG S 4MATIC+ 42CV BVA9,97920,69,2019,13/07/2019,non requis,68 286 Km,Essence,automatique,gris foncé,5,5,12 mois,,,non,3,42 CV,510 ch,1,259 g/kmG,11.4 l/100km,EURO6
13,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 8G-DCT,35980,25,2022,30/04/2022,non requis,22 411 Km,Diesel,automatique,KOSMOSBLACK - MET.,5,5,24 mois,,Mercedes Millétoile,non,2,6 CV,116 ch,2,132 g/kmC,5 l/100km,EURO6
14,MERCEDES GLE 2,II 300 D 4MATIC AMG LINE,71020,25,2020,09/04/2020,non requis,109 987 Km,Diesel,automatique,OBSIDIAN BLACK - METALLIC PAINT,5,5,24 mois,,Mercedes Millétoile,non,2,15 CV,245 ch,2,159 g/kmD,6 l/100km,EURO6
15,MERCEDES CLA SHOOTING BRAKE,(2) SHOOTING BRAKE 250 FASCINATION 4MATIC 7G-DCT,41120,25,2019,14/02/2019,non requis,76 052 Km,Essence,automatique,MOUNTAINGRAU - MET.,5,5,24 mois,,Mercedes Millétoile,non,2,12 CV,211 ch,1,167 g/kmE,7.3 l/100km,EURO6
16,MERCEDES CLASSE C 4 SW,IV (2) SW 220 D AMG LINE 9G-TRONIC,40230,44,2019,11/06/2019,non requis,73 924 Km,Diesel,automatique,blanc,5,5,,,,non,3,10 CV,195 ch,2,126 g/kmC,4.5 l/100km,EURO6
17,MERCEDES CLASSE B 3,III B 200 D 7CV PROGRESSIVE LINE EDITION 8G-DCT,29050,74,2020,15/03/2020,non requis,61 974 Km,Diesel,automatique,Blanc polaire,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,150 ch,2,104 g/kmB,3.9 l/100km,EURO6
