,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 6CV S&S ACTIVE,22780,24,2022,25/01/2023,non requis,50 874 Km,Diesel,mécanique,GRIS CLAIR,5,5,12 mois,,,oui,1,6 CV,110 ch,2,114 g/kmB,4.4 l/100km,EURO6
1,PEUGEOT 508,2.0 HDI 163 FAP ACTIVE,11480,24,2012,10/08/2012,requis,103 950 Km,Diesel,mécanique,NOIR,4,5,12 mois,,,non,,9 CV,163 ch,2,129 g/kmC,4.9 l/100km,EURO5
2,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE E6,23200,44,2019,20/08/2019,non requis,68 026 Km,Essence,mécanique,Gris Amazonite (M),5,5,6 mois,,,non,2,7 CV,131 ch,1,117 g/kmB,4.5 l/100km,EURO6
3,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,12570,77,2020,15/06/2020,non requis,144 578 Km,Diesel,mécanique,Bleu Métal,5,5,6 mois,,,oui,,6 CV,130 ch,2,92 g/kmA,3.5 l/100km,EURO6
4,PEUGEOT 2008,(2) 1.5 BLUEHDI 120 S&S ALLURE BUSINESS EAT6,15910,77,2020,20/06/2020,non requis,133 282 Km,Diesel,automatique,Gris Foncé Métal,5,5,6 mois,,,oui,,6 CV,120 ch,2,102 g/kmB,3.9 l/100km,EURO6
5,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH S&S 130 ACTIVE,21480,77,2018,20/04/2018,requis,107 164 Km,Essence,mécanique,Noir Métal,5,5,6 mois,,,oui,,7 CV,130 ch,1,117 g/kmB,5.1 l/100km,EURO6
6,PEUGEOT 2008,(2) 1.5 BLUEHDI 100 GT LINE,18830,77,2020,23/03/2020,non requis,61 002 Km,Diesel,mécanique,Noir Métal,5,5,6 mois,,,oui,,5 CV,100 ch,2,86 g/kmA,3.5 l/100km,EURO6
7,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ACTIVE BUSINESS,18350,30,2020,15/08/2020,non requis,27 782 Km,Essence,mécanique,Blanc,5,5,,,,non,,5 CV,100 ch,1,96 g/kmA,4.2 l/100km,EURO6
8,PEUGEOT 5008 (2E GENERATION),II 1.6 PURETECH 180 S&S GT LINE EAT8,38380,44,2020,21/12/2020,non requis,77 395 Km,Essence,automatique,Blanc Nacré (S),5,7,6 mois,,,oui,1,10 CV,181 ch,1,128 g/kmC,5.6 l/100km,EURO6
9,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV STYLE EAT8,34140,86,2021,18/11/2021,non requis,25 569 Km,Essence,automatique,Blanc Nacré (S),5,5,12 mois,,Fiat Autoexpert ALTA,oui,1,7 CV,131 ch,1,151 g/kmD,6.7 l/100km,EURO6
10,PEUGEOT 2008,1.6 E-HDI 92 FELINE TITANE,12990,01,2014,08/10/2014,requis,108 403 Km,Diesel,mécanique,MARRON,5,5,3 mois,,,non,,5 CV,92 ch,2,103 g/kmB,4 l/100km,EURO5
11,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,17830,01,2021,25/02/2021,non requis,25 051 Km,Essence,mécanique,BLANC,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
12,PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 100 PREMIUM PACK,12460,01,2019,02/05/2019,non requis,69 065 Km,Diesel,mécanique,BLANC,5,2,12 mois,,SPOTICAR,non,,5 CV,99 ch,2,90 g/kmA,3.5 l/100km,EURO6
13,PEUGEOT 308 (2E GENERATION) GTI,II (2) 1.6 THP 270 S&S GTI BY PEUGEOT SPORT,32060,01,2018,24/04/2018,requis,53 900 Km,Essence,mécanique,ROUGE,5,5,8 mois,,SPOTICAR,non,,16 CV,270 ch,1,139 g/kmC,6 l/100km,EURO6
14,PEUGEOT 3008,(2) 1.6 BLUEHDI 120 S&S STYLE,14450,01,2017,24/09/2017,requis,126 832 Km,Diesel,mécanique,GRIS,5,5,8 mois,,SPOTICAR,non,,6 CV,120 ch,2,108 g/kmB,4.1 l/100km,EURO6
15,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,25710,01,2020,11/09/2020,non requis,86 906 Km,Diesel,mécanique,rouge,5,5,12 mois,,SPOTICAR,non,,6 CV,130 ch,2,106 g/kmB,4 l/100km,EURO6
16,PEUGEOT 2008,1.6 E-HDI 92 FELINE TITANE,12990,01,2014,08/10/2014,requis,108 403 Km,Diesel,mécanique,MARRON,5,5,3 mois,,,non,,5 CV,92 ch,2,103 g/kmB,4 l/100km,EURO5
17,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,17830,01,2021,25/02/2021,non requis,25 051 Km,Essence,mécanique,BLANC,5,5,12 mois,,SPOTICAR,non,,4 CV,75 ch,1,122 g/kmC,5.4 l/100km,EURO6
18,PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 100 PREMIUM PACK,12460,01,2019,02/05/2019,non requis,69 065 Km,Diesel,mécanique,BLANC,5,2,12 mois,,SPOTICAR,non,,5 CV,99 ch,2,90 g/kmA,3.5 l/100km,EURO6
19,PEUGEOT 308 (2E GENERATION) GTI,II (2) 1.6 THP 270 S&S GTI BY PEUGEOT SPORT,32060,01,2018,24/04/2018,requis,53 900 Km,Essence,mécanique,ROUGE,5,5,8 mois,,SPOTICAR,non,,16 CV,270 ch,1,139 g/kmC,6 l/100km,EURO6
20,PEUGEOT 3008,(2) 1.6 BLUEHDI 120 S&S STYLE,14450,01,2017,24/09/2017,requis,126 832 Km,Diesel,mécanique,GRIS,5,5,8 mois,,SPOTICAR,non,,6 CV,120 ch,2,108 g/kmB,4.1 l/100km,EURO6
