,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,VOLKSWAGEN T-ROC,STYLE 1.5 TSI 150CH AUTOMATIQUE,40880,77,2023,27/02/2023,non requis,12 Km,Essence,automatique,gris,5,,21 mois,,,non,,8 CV,150 ch,,142 g/kmD,,
1,VOLKSWAGEN POLO 5 GTI,V 1.4 TSI 180 GTI DSG 7 5P,18130,77,2013,10/06/2013,requis,126 132 Km,Essence,automatique,noir,5,5,6 mois,,,oui,1,10 CV,180 ch,1,139 g/kmC,5.1 l/100km,EURO5
2,VOLKSWAGEN COCCINELLE,(2) 2.0 TSI 220 DUNE DSG6,30510,76,2018,16/05/2018,requis,77 386 Km,Essence,automatique,gris,2,4,12 mois,,SPOTICAR,non,2,13 CV,220 ch,1,157 g/kmD,6.8 l/100km,EURO6
3,VOLKSWAGEN PASSAT 8 SW,VIII SW 1.4 TSI 218 GTE 6CV DSG6,30610,75,2017,26/09/2017,requis,72 817 Km,Hybride essence électrique,automatique,noir,5,5,12 mois,,,non,,6 CV,156 ch,1,37 g/kmA,,EURO6
4,VOLKSWAGEN POLO 5,V (2) 1.4 TDI 75 FAP BLUEMOTION TECHNOLOGY TRENDLINE BUSINESS 5P,11530,01,2018,06/02/2018,requis,110 000 Km,Diesel,mécanique,gris,5,2,,,,oui,1,4 CV,75 ch,2,95 g/kmA,3.4 l/100km,EURO6
5,VOLKSWAGEN GOLF 7,VII (2) 1.0 TSI 110 BLUEMOTION TECHNOLOGY SOUND BV6 5P,18240,57,2019,15/10/2019,non requis,75 486 Km,Essence,mécanique,gris,5,5,,,,oui,2,6 CV,110 ch,1,112 g/kmB,4.8 l/100km,EURO6
6,VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT EXCLUSIVE DSG7,32680,85,2019,15/07/2019,non requis,79 460 Km,Diesel,automatique,Blanc Oryx,5,5,6 mois,,,non,2,8 CV,150 ch,2,129 g/kmC,4.5 l/100km,EURO6
7,VOLKSWAGEN T-ROC,(2) 2.0 TDI 115 START/STOP LIFE BVM6,34750,79,2023,09/09/2023,non requis,1 256 Km,Diesel,mécanique,Gris Indium,5,5,,,,non,,6 CV,116 ch,2,122 g/kmC,4.7 l/100km,EURO6
8,VOLKSWAGEN T-ROC,2.0 TDI 150 CARAT DSG7,36760,30,2022,18/02/2022,non requis,19 869 Km,Diesel,automatique,Indiumgrau Metallic,5,5,24 mois,en cours,,oui,1,8 CV,150 ch,2,130 g/kmC,4.9 l/100km,EURO6
9,VOLKSWAGEN POLO 5,V (2) 1.2 TSI 90 BLUEMOTION TECHNOLOGY MATCH 5P,15980,30,2018,27/04/2018,requis,82 422 Km,Essence,mécanique,Blanc,5,5,12 mois,,,oui,1,5 CV,90 ch,1,109 g/kmB,4 l/100km,EURO6
