,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,RENAULT CAPTUR 2,II 1.0 TCE 90 ENERGY INTENS MY21,24820,13,2022,07/01/2023,non requis,108 Km,Essence,mécanique,gris,5,5,,,,non,,5 CV,90 ch,1,130 g/kmC,5.8 l/100km,EURO6
1,RENAULT GRAND SCENIC 3,III (3) 1.5 DCI 110 BOSE EDITION EDC 5PL,18730,13,2017,29/06/2017,requis,102 503 Km,Diesel,automatique,platine,5,7,6 mois,,,non,2,6 CV,110 ch,2,114 g/kmB,4.1 l/100km,EURO6
2,RENAULT ESPACE 5,V 1.6 DCI 160 ENERGY ZEN EDC 7PL,23960,77,2018,25/05/2018,requis,120 255 Km,Diesel,automatique,Gris Foncé Métal,5,5,6 mois,,,oui,,8 CV,160 ch,2,120 g/kmB,4.6 l/100km,EURO6
3,RENAULT CLIO 4,IV (2) 0.9 TCE 90 ENERGY INTENS,16680,30,2018,04/05/2018,requis,26 862 Km,Essence,mécanique,Gris,5,5,12 mois,,SPOTICAR,non,,5 CV,90 ch,1,105 g/kmB,4.7 l/100km,EURO6
4,RENAULT GRAND SCENIC 4,IV 1.7 DCI 120 BLUE BUSINESS 7PL,17410,77,2019,11/12/2019,non requis,125 608 Km,Diesel,mécanique,Noir Métal,5,7,6 mois,,,oui,,6 CV,120 ch,2,127 g/kmC,5.8 l/100km,EURO6
5,RENAULT KADJAR,1.6 DCI 130 ENERGY BUSINESS,18040,77,2019,06/08/2019,non requis,80 109 Km,Diesel,mécanique,Bleu Métal,5,5,6 mois,,,oui,,7 CV,130 ch,2,113 g/kmB,4.3 l/100km,EURO6
6,RENAULT KADJAR,1.2 TCE 130 ENERGY INTENS,19190,31,2017,17/11/2017,requis,91 550 Km,Essence,mécanique,ROUGE,5,5,6 mois,,SPOTICAR,oui,,7 CV,130 ch,1,130 g/kmC,5.8 l/100km,EURO6
7,RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 BUSINESS,24580,13,2020,21/04/2020,non requis,35 498 Km,Diesel,mécanique,gris,5,5,6 mois,,,non,2,6 CV,120 ch,2,127 g/kmC,4.8 l/100km,EURO6
8,RENAULT CAPTUR 2,II 1.3 TCE 130 FAP INTENS,27260,13,2021,11/12/2021,non requis,30 752 Km,Essence,mécanique,orange,5,5,6 mois,,,non,2,7 CV,131 ch,1,147 g/kmD,6.5 l/100km,EURO6
9,RENAULT CLIO 5,V 1.0 TCE 100 RS LINE,20120,13,2021,28/01/2022,non requis,14 840 Km,Essence,mécanique,gris titanium,5,5,6 mois,,,non,2,5 CV,101 ch,1,100 g/kmA,5.2 l/100km,EURO6
10,RENAULT CLIO 4,IV 1.2 16V 75 LIMITED,11430,33,2017,18/11/2017,requis,84 709 Km,Essence,mécanique,noir,5,5,8 mois,,SPOTICAR,oui,1,4 CV,73 ch,1,127 g/kmC,4.7 l/100km,EURO6
11,RENAULT CAPTUR,1.5 DCI 90 ENERGY INTENS ECO2 EURO6,17060,27,2019,18/07/2019,non requis,66 076 Km,Diesel,mécanique,Gris Cassiopée,5,5,12 mois,,,non,,4 CV,90 ch,2,95 g/kmA,3.6 l/100km,EURO6
12,RENAULT CLIO 4,IV 1.2 16V 75 LIMITED,12380,10,2016,18/01/2017,requis,77 726 Km,Essence,mécanique,Rouge Flamme,5,5,6 mois,,Ford Sélection Privilège,non,,4 CV,75 ch,1,127 g/kmC,5.6 l/100km,EURO6
13,RENAULT MEGANE 4,IV (2) 1.5 BLUE DCI 115 INTENS,20480,77,2022,21/06/2022,non requis,79 549 Km,Diesel,mécanique,Bleu Métal,5,5,6 mois,en cours,,oui,,6 CV,115 ch,2,119 g/kmB,4.9 l/100km,EURO6
14,RENAULT MEGANE 4,IV 1.2 TCE 130 ENERGY INTENS,19340,33,2019,26/06/2019,non requis,55 568 Km,Essence,mécanique,noir,5,5,12 mois,,,oui,2,7 CV,132 ch,1,123 g/kmC,4.6 l/100km,EURO6
15,RENAULT KANGOO 2 EXPRESS,II EXTRA L1 1.5 DCI 85 6CV,8520,56,2011,02/04/2011,requis,191 540 Km,Diesel,mécanique,blanc,4,2,3 mois,,,oui,3,6 CV,86 ch,3,130 g/kmC,4.6 l/100km,EURO4
16,RENAULT CAPTUR,(2) 1.5 DCI 90 ENERGY INTENS ECO2,16920,67,2019,03/08/2019,non requis,66 427 Km,Diesel,mécanique,Gris clair,5,5,12 mois,,SPOTICAR,non,,5 CV,90 ch,2,111 g/kmB,4.2 l/100km,EURO6
