,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C4 CACTUS,(2) 1.2 PURETECH 130 S&S SHINE EAT6,23380,75,2020,27/07/2020,non requis,16 380 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,1,108 g/kmB,4.8 l/100km,EURO6
1,CITROEN C3 (3E GENERATION),SHINE 1.2 PURETECH S&S 110CH AUTOMATIQUE,28860,77,2023,25/08/2023,non requis,12 Km,Essence,automatique,rouge,5,,22 mois,,,non,,6 CV,110 ch,,134 g/kmC,,
2,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S FEEL PACK BV6,22120,91,2022,24/10/2022,non requis,11 141 Km,Essence,mécanique,GRIS F,5,5,24 mois,en cours,SPOTICAR,oui,,6 CV,110 ch,1,124 g/kmC,5.7 l/100km,EURO6
3,CITROEN BERLINGO 3 MULTISPACE,III TAILLE XL 1.5 BLUEHDI 100 S&S FEEL,24820,78,2020,29/02/2020,non requis,51 296 Km,Diesel,mécanique,GRIS,5,5,12 mois,,,non,,5 CV,102 ch,2,112 g/kmB,4.3 l/100km,EURO6
4,CITROEN BERLINGO 3 MULTISPACE,III TAILLE XL 1.5 BLUEHDI 100 FEEL,27810,77,2020,25/11/2020,non requis,44 791 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,,5 CV,102 ch,2,112 g/kmB,4.3 l/100km,EURO6
5,CITROEN C-ELYSEE,(2) 1.2 PURETECH 82 LIVE,13040,35,2018,24/03/2018,requis,50 248 Km,Essence,mécanique,gris,4,5,12 mois,,SPOTICAR,non,2,4 CV,82 ch,1,110 g/kmB,4.1 l/100km,EURO6
6,CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 FEEL EDITION,9920,77,2017,02/02/2017,requis,140 517 Km,Essence,mécanique,BLEU C,5,5,8 mois,,SPOTICAR,non,,4 CV,82 ch,1,107 g/kmB,4.6 l/100km,EURO6
7,CITROEN C5 AIRCROSS,2.0 BLUEHDI 180 S&S SHINE EAT8,31700,63,2020,19/03/2020,non requis,60 466 Km,Diesel,automatique,NOIR,5,5,60 mois,,,non,,9 CV,177 ch,2,124 g/kmC,4.8 l/100km,EURO6
8,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,17860,77,2022,07/12/2022,non requis,54 630 Km,Essence,mécanique,bleu,5,5,6 mois,en cours,,oui,1,4 CV,83 ch,1,123 g/kmC,5.7 l/100km,EURO6
9,CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 FEEL EDITION,10960,13,2016,16/04/2016,requis,74 653 Km,Essence,mécanique,noir,5,5,8 mois,,SPOTICAR,oui,1,4 CV,82 ch,1,107 g/kmB,4.1 l/100km,EURO6
10,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE PACK,16930,78,2022,19/03/2022,non requis,45 318 Km,Essence,mécanique,GRIS ACIER,5,5,12 mois,en cours,,non,,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
11,CITROEN C3 AIRCROSS,1.2 PURETECH 82 SUNSHINE,17060,84,2020,23/01/2021,non requis,53 247 Km,Essence,mécanique,Misty Grey (M),5,5,12 mois,,SPOTICAR,non,,5 CV,82 ch,1,118 g/kmB,5 l/100km,EURO6
12,CITROEN C1,(3) 1.0 ATTRACTION 3P,7330,85,2014,08/08/2014,requis,88 405 Km,Essence,mécanique,rouge,3,4,,,,non,3,4 CV,68 ch,1,99 g/kmA,3.8 l/100km,EURO5
13,CITROEN C4 (2E GENERATION),II (2) 1.6 BLUEHDI 100 MILLENIUM,14860,85,2018,21/01/2019,non requis,128 681 Km,Diesel,mécanique,gris,5,5,,,,oui,1,5 CV,99 ch,2,95 g/kmA,3.2 l/100km,EURO6
14,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S FEEL PACK BV6,27250,59,2023,04/02/2023,non requis,25 202 Km,Diesel,mécanique,Gris Foncé Métal,5,5,12 mois,,,oui,,6 CV,110 ch,2,113 g/kmB,,EURO6
15,CITROEN DS3,1.6 THP 155 SPORT CHIC,10610,59,2013,21/08/2013,requis,203 750 Km,Essence,mécanique,BLANC,3,5,3 mois,,,non,,8 CV,156 ch,1,135 g/kmC,5.8 l/100km,EURO5
16,CITROEN C1 (2E GENERATION),II 1.0 VTI 68 FEEL 5P,10680,27,2018,15/08/2018,requis,43 519 Km,Essence,mécanique,Blanc Lipizan (O),5,4,12 mois,,SPOTICAR,non,,4 CV,69 ch,1,95 g/kmA,4.1 l/100km,EURO6
