,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,RENAULT CAPTUR 2,II 1.5 BLUE DCI 115 INITIALE PARIS EDC,27480,51,2021,16/11/2021,non requis,52 836 Km,Diesel,automatique,GRIS,5,5,6 mois,,,non,,6 CV,115 ch,2,130 g/kmC,5 l/100km,EURO6
1,RENAULT MEGANE 3,III (2) 1.2 TCE 130 ENERGY BOSE ECO2,11380,31,2015,02/07/2015,requis,172 013 Km,Essence,mécanique,GRIS F,5,5,6 mois,,,oui,,7 CV,130 ch,1,124 g/kmC,5.4 l/100km,EURO5
2,RENAULT SCENIC 4,IV 1.6 DCI 130 ENERGY INTENS,18140,24,2019,11/04/2019,non requis,96 120 Km,Diesel,mécanique,noir metal,5,5,12 mois,,,oui,,7 CV,130 ch,2,116 g/kmB,4.5 l/100km,EURO6
3,RENAULT SCENIC 4,IV 1.2 TCE 130 ENERGY INTENS,17100,82,2018,13/03/2018,requis,105 064 Km,Essence,mécanique,Gris Cassiopée/Noir Etoilé,5,5,8 mois,,SPOTICAR,non,,7 CV,130 ch,1,129 g/kmC,5.8 l/100km,EURO6
4,RENAULT LAGUNA 3 COUPE,III COUPE 3.5 V6 240 INITIALE BVA,14350,75,2010,13/06/2010,requis,129 903 Km,Essence,automatique,NOIR,2,4,6 mois,,,non,,16 CV,238 ch,2,238 g/kmF,10 l/100km,EURO4
5,RENAULT KANGOO 2 EXPRESS,II (2) CONFORT 1.5 DCI 75 ENERGY FT,7540,66,2015,31/05/2015,requis,193 904 Km,Diesel,mécanique,BLANC,4,2,,,,non,,5 CV,75 ch,2,112 g/kmB,4.3 l/100km,EURO5
6,RENAULT CAPTUR,(2) 1.3 TCE 130 FAP ZEN,17100,33,2020,12/08/2020,non requis,13 613 Km,Essence,mécanique,GRIS,5,5,12 mois,,,non,,7 CV,130 ch,1,128 g/kmC,5.6 l/100km,EURO6
7,RENAULT KOLEOS 2,II 2.0 DCI 175 ENERGY INTENS 4X2 X-TRONIC,27420,68,2018,12/05/2018,requis,46 720 Km,Diesel,automatique,Bleu de Saxe,5,5,12 mois,,SPOTICAR,oui,,10 CV,175 ch,2,146 g/kmD,5.5 l/100km,EURO6
8,RENAULT CLIO 4,IV 1.5 DCI 75 DYNAMIQUE ECO2,10890,13,2015,24/12/2015,requis,144 580 Km,Diesel,mécanique,gris clair,5,5,8 mois,,SPOTICAR,non,2,4 CV,75 ch,2,95 g/kmA,3.2 l/100km,EURO5
9,RENAULT KADJAR,1.2 TCE 130 ENERGY INTENS,19980,84,2018,07/06/2018,requis,78 266 Km,Essence,mécanique,ROUGE,5,5,12 mois,,SPOTICAR,oui,,7 CV,130 ch,1,130 g/kmC,5.8 l/100km,EURO6
10,RENAULT SCENIC 4,IV 1.3 TCE 140 FAP INTENS EDC,24170,77,2019,19/04/2019,non requis,25 458 Km,Essence,automatique,gris clair,5,5,12 mois,,,oui,1,7 CV,140 ch,1,122 g/kmC,4.7 l/100km,EURO6
11,RENAULT MODUS,(2) 1.2 16V 75 .COM,7330,85,2013,08/08/2013,requis,64 047 Km,Essence,mécanique,beige,5,5,,,,non,2,5 CV,75 ch,1,138 g/kmC,4.9 l/100km,EURO5
12,RENAULT CLIO 4,IV (2) 0.9 TCE 90 ENERGY INTENS,15320,37,2020,20/11/2020,non requis,71 980 Km,Essence,mécanique,ROUGE,5,5,6 mois,,,non,,5 CV,90 ch,1,113 g/kmB,5 l/100km,EURO6
13,RENAULT GRAND SCENIC 4,IV 1.3 TCE 140 FAP BUSINESS INTENS EDC,28910,40,2020,02/11/2020,non requis,65 298 Km,Essence,automatique,GRIS,5,7,6 mois,,Garantie OR,non,,7 CV,140 ch,1,132 g/kmC,5.8 l/100km,EURO6
14,RENAULT CLIO 4,IV 0.9 TCE 90 ENERGY LIMITED ECO2,14880,41,2017,01/06/2017,requis,37 753 Km,Essence,mécanique,BLANC,5,5,12 mois,,Occasions du Lion PREMIUM,non,,5 CV,90 ch,1,105 g/kmB,4.5 l/100km,EURO6
15,RENAULT ZOE,(2) R110 ZEN,19420,21,2021,30/04/2021,non requis,19 677 Km,Electrique,automatique,BLEU FOUDRE,5,5,12 mois,,,non,3,4 CV,69 ch,0,0 g/kmA,,EURO6
16,RENAULT MEGANE 4,IV 1.6 DCI 130 ENERGY INTENS,16190,92,2017,11/12/2017,requis,79 808 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,131 ch,2,103 g/kmB,3.6 l/100km,EURO6
17,RENAULT ESPACE 5,V 1.6 DCI 160 TWIN TURBO ENERGY INTENS EDC 5PL,21760,29,2018,13/11/2018,requis,76 365 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,8 CV,161 ch,2,120 g/kmB,4.4 l/100km,EURO6
