,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S GT PACK EAT8,33900,40,2023,13/07/2023,non requis,12 599 Km,Essence,automatique,GRIS PLATINIUM,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,121 g/kmC,5.3 l/100km,EURO6
1,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE,21260,40,2022,21/03/2022,non requis,21 598 Km,Essence,mécanique,NOIR PERLA,5,5,12 mois,en cours,SPOTICAR,non,,4 CV,75 ch,1,119 g/kmB,5.3 l/100km,EURO6
2,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S ALLURE PACK MY21,26740,40,2022,05/09/2022,non requis,13 974 Km,Diesel,mécanique,ROUGE ELIXIR,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,2,106 g/kmB,4 l/100km,EURO6
3,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE PACK EAT8,35010,67,2022,19/04/2022,non requis,71 536 Km,Essence,automatique,Gris Platinium (M),5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,1,145 g/kmD,6.5 l/100km,EURO6
4,PEUGEOT 3008 (2E GENERATION),II 1.6 PURETECH 180 S&S GT LINE EAT8,33580,83,2021,10/05/2021,non requis,55 772 Km,Essence,automatique,Gris,5,5,12 mois,,Das WeltAuto. Medium,non,2,10 CV,181 ch,1,128 g/kmC,7.3 l/100km,EURO6
5,PEUGEOT BOXER 2,BVM6 BOXER TOLE 3.3 T L2H2 BLUEHDI 140 S&S,36780,47,2024,26/11/2024,non requis,42 940 Km,Diesel,mécanique,Blanc,4,,6 mois,,,non,,7 CV,140 ch,,166 g/kmE,,
6,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 100 S&S ACCESS,20970,92,2021,10/07/2021,non requis,42 008 Km,Diesel,mécanique,BLANC,5,5,6 mois,,,non,,5 CV,100 ch,2,117 g/kmB,4.5 l/100km,EURO6
7,PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S EAT8 GT PACK,25810,59,2021,13/01/2022,non requis,27 288 Km,Essence,automatique,NOIR,5,5,,,,oui,,7 CV,130 ch,1,,6 l/100km,EURO6
8,PEUGEOT 3008,(2) 1.2 PURETECH 130 S&S ALLURE,22380,95,2018,02/10/2018,requis,72 768 Km,Essence,mécanique,Gris Amazonite (M),5,5,12 mois,,Das WeltAuto. Medium,non,,7 CV,130 ch,1,115 g/kmB,4.9 l/100km,EURO6
9,PEUGEOT 208 (2E GENERATION),BVM6 208 PURETECH 100 S&S ACTIVE PACK,22300,91,2022,02/09/2022,non requis,39 773 Km,Essence,mécanique,Blanc,5,,12 mois,,SPOTICAR,non,,5 CV,100 ch,,118 g/kmB,,
10,PEUGEOT 2008,BVM5 1.2 PURETECH 82CH STYLE,15520,21,2019,30/07/2019,non requis,64 749 Km,Essence,mécanique,Gris,5,,12 mois,,SPOTICAR,non,,4 CV,82 ch,,114 g/kmB,4.3 l/100km,
11,PEUGEOT 2008,1.2 PURETECH 82 STYLE,8910,13,2016,11/11/2016,requis,111 916 Km,Essence,mécanique,Brun Makaha,5,5,12 mois,,Toyota Occasion,non,,4 CV,82 ch,1,114 g/kmB,4.9 l/100km,EURO5
12,PEUGEOT 508 SW,(2) SW 2.0 BLUEHDI 150 S&S GT LINE,21580,45,2017,24/07/2017,requis,101 400 Km,Diesel,mécanique,GRIS,5,5,6 mois,,,non,,7 CV,150 ch,2,110 g/kmB,3.9 l/100km,EURO6
13,PEUGEOT E-2008 (2E GENERATION),II ELECTRIQUE GT 136,45510,78,2023,08/08/2023,non requis,3 744 Km,Electrique,automatique,GRIS ARTENS,5,5,12 mois,,SPOTICAR,non,,4 CV,136 ch,0,0 g/kmA,,EURO6
14,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE PACK EAT8,44160,78,2023,09/01/2024,non requis,18 Km,Essence,automatique,GRIS ARTENS,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,145 g/kmD,6.4 l/100km,EURO6
15,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 EAT8 S&S ALLURE PACK,36220,78,2023,26/04/2023,non requis,17 386 Km,Diesel,automatique,ROUGE ELIXIR,5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,2,123 g/kmC,4.6 l/100km,EURO6
16,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV ALLURE EAT8,30960,78,2022,25/12/2022,non requis,49 128 Km,Essence,automatique,GRIS PLATINIUM METAL,5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,1,136 g/kmC,6 l/100km,EURO6
17,PEUGEOT 508 (2E GENERATION),II (2) 1.6 HYBRID 225 10CV ALLURE BUSINESS E-EAT8,42060,78,2022,24/09/2022,non requis,26 272 Km,Hybride essence électrique,automatique,GRIS AMAZONITE,5,5,12 mois,en cours,SPOTICAR,non,,10 CV,225 ch,1,29 g/kmA,1.3 l/100km,EURO6
18,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE PACK EAT8,42650,78,2023,11/04/2023,non requis,18 Km,Essence,automatique,GRIS ARTENSE,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,145 g/kmD,6.4 l/100km,EURO6
19,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE,31740,78,2022,12/09/2022,non requis,30 892 Km,Essence,mécanique,GRIS PLATINIUM,5,5,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,1,140 g/kmC,6.2 l/100km,EURO6
20,PEUGEOT RIFTER,1.5 BLUEHDI 130 S&S LONG ALLURE PACK 7PL,37350,78,2022,02/12/2022,non requis,67 860 Km,Diesel,mécanique,DEEP BLUE,5,7,12 mois,en cours,SPOTICAR,non,,7 CV,130 ch,2,143 g/kmD,5.4 l/100km,EURO6
21,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 2.0 BLUEHDI 150 S&S ALLURE EAT6,22540,35,2019,10/04/2019,non requis,124 987 Km,Diesel,automatique,GRIS ARTENSE,5,5,12 mois,,,non,,7 CV,150 ch,2,109 g/kmB,4.2 l/100km,EURO6
22,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS,20210,78,2021,19/02/2021,non requis,60 956 Km,Diesel,mécanique,GRIS ARTENSE,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,2,106 g/kmB,4.1 l/100km,EURO6
23,PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 75 PREMIUM PACK,9950,01,2018,15/02/2018,requis,93 275 Km,Diesel,mécanique,BLANC,5,2,8 mois,,SPOTICAR,non,,4 CV,75 ch,2,90 g/kmA,3.5 l/100km,EURO6
24,PEUGEOT 2008,1.6 E-HDI 115 ALLURE,10290,01,2014,11/05/2014,requis,219 716 Km,Diesel,mécanique,BLANC,5,5,3 mois,,,non,,6 CV,115 ch,2,105 g/kmB,4 l/100km,EURO5
25,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE,20470,01,2021,24/04/2021,non requis,37 601 Km,Essence,mécanique,GRIS,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,,,EURO6
26,PEUGEOT PARTNER 2 FOURGON,II (2) 1.6 BLUEHDI 100 STANDARD PREMIUM,17120,01,2018,23/01/2019,requis,133 482 Km,Diesel,mécanique,blanc,4,3,8 mois,,SPOTICAR,non,,5 CV,100 ch,2,112 g/kmB,4.3 l/100km,EURO6
27,PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ROADTRIP EAT8,40310,78,2023,16/07/2023,non requis,5 453 Km,Diesel,automatique,NOIR PERLA NERA METALLISE,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
28,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S 7CV ALLURE EAT8,34270,78,2023,07/05/2023,non requis,17 850 Km,Diesel,automatique,BLANC,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,132 g/kmC,5 l/100km,EURO6
29,PEUGEOT 3008 (2E GENERATION),II 2.0 BLUEHDI 150 S&S ALLURE,27930,91,2018,06/07/2018,requis,97 360 Km,Diesel,mécanique,Gris,5,5,12 mois,,SPOTICAR,oui,1,8 CV,150 ch,2,114 g/kmB,4 l/100km,EURO6
30,PEUGEOT 508 (2E GENERATION),II HYBRID 225 GT E-EAT8 2021,45870,78,2022,02/11/2022,non requis,14 130 Km,Hybride essence électrique,automatique,BLEU FONCE METALLISEE VER,5,5,12 mois,en cours,SPOTICAR,non,,10 CV,225 ch,1,32 g/kmA,1.4 l/100km,EURO6
31,PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV GT LINE EAT8,29150,91,2020,03/08/2020,non requis,98 820 Km,Essence,automatique,Gris,5,5,12 mois,,SPOTICAR,non,3,7 CV,131 ch,1,115 g/kmB,,EURO6
