,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C3 AIRCROSS,1.5 BLUEHDI 100 S&S SHINE BV6,18130,69,2020,30/05/2020,non requis,68 661 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,non,2,5 CV,102 ch,2,104 g/kmB,4 l/100km,EURO6
1,CITROEN C4 PICASSO 2,II 1.6 E-HDI 115 EXCLUSIVE ETG6,12180,78,2015,25/10/2015,requis,181 292 Km,Diesel,automatique,gris,5,5,8 mois,,SPOTICAR,non,2,6 CV,116 ch,2,105 g/kmB,3.8 l/100km,EURO5
2,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SUNSHINE BV6,21090,59,2020,14/04/2020,non requis,34 189 Km,Essence,mécanique,beige,5,5,12 mois,,SPOTICAR,oui,2,5 CV,110 ch,1,106 g/kmB,4.7 l/100km,EURO6
3,CITROEN C3 AIRCROSS,1.5 BLUEHDI 110 S&S FEEL PACK BV6,18680,13,2022,07/06/2022,non requis,52 406 Km,Diesel,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
4,CITROEN JUMPY 3,III TAILLE XL BLUEHDI 115 S&S CONFORT BV6,34710,31,2019,23/04/2019,non requis,97 356 Km,Diesel,mécanique,gris foncé,4,2,6 mois,,,oui,,6 CV,116 ch,2,137 g/kmC,5 l/100km,EURO6
5,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S FEEL BV6,26060,31,2020,28/04/2020,non requis,93 751 Km,Essence,mécanique,gris,5,5,6 mois,,,oui,,7 CV,131 ch,1,118 g/kmB,5.3 l/100km,EURO6
6,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S FEEL PACK BV6,26730,33,2022,26/11/2022,non requis,12 698 Km,Diesel,mécanique,blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,2,113 g/kmB,4.4 l/100km,EURO6
7,CITROEN C4 PICASSO 2,II 1.6 E-HDI 115 INTENSIVE BV6,16580,78,2015,25/07/2015,requis,48 982 Km,Diesel,mécanique,bleu,5,5,8 mois,,SPOTICAR,oui,1,6 CV,116 ch,2,105 g/kmB,3.8 l/100km,EURO5
8,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S FEEL,13320,40,2020,27/06/2020,non requis,35 037 Km,Essence,mécanique,blanc,5,5,12 mois,,,oui,1,4 CV,83 ch,1,108 g/kmB,5 l/100km,EURO6
9,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,17120,77,2022,03/08/2022,non requis,48 938 Km,Essence,mécanique,gris,5,5,6 mois,en cours,,oui,1,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
