,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES CLA 2,II 220 D 10CV PROGRESSIVE LINE 8G-DCT,50440,45,2020,26/02/2020,non requis,70 180 Km,Diesel,automatique,gris,4,5,,,,non,3,10 CV,190 ch,2,104 g/kmB,,EURO6
1,MERCEDES CLASSE A 3,III (2) 220 D FASCINATION 4MATIC 7G-DCT,28500,75,2016,15/02/2016,requis,139 711 Km,Diesel,automatique,gris,5,5,12 mois,,,non,,9 CV,177 ch,2,124 g/kmC,4.3 l/100km,EURO6
2,MERCEDES GLA,(2) 200 STARLIGHT EDITION 7G-DCT,30920,91,2019,03/07/2019,non requis,16 200 Km,Essence,automatique,blanc,5,5,12 mois,,,non,2,9 CV,156 ch,1,142 g/kmD,6.2 l/100km,EURO6
3,MERCEDES GLA,220 D FASCINATION 4MATIC 7G-DCT,25500,74,2016,27/08/2016,requis,135 720 Km,Diesel,automatique,blanc verni,5,5,3 mois,,,non,3,9 CV,177 ch,2,130 g/kmC,4.4 l/100km,EURO6
4,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT,31330,68,2020,04/01/2021,non requis,72 212 Km,Diesel,automatique,rouge,5,5,,,,non,3,6 CV,116 ch,2,100 g/kmA,4 l/100km,EURO6
5,MERCEDES GLC,(2) 220 D BUSINESS LINE LAUNCH EDITION 4MATIC,51290,24,2020,06/04/2020,non requis,76 160 Km,Diesel,automatique,gris sélénite,5,5,12 mois,,,oui,,11 CV,194 ch,2,135 g/kmC,5.6 l/100km,EURO6
6,MERCEDES CLA 2,II 200 8CV AMG LINE 7G-DCT,44440,31,2020,04/07/2020,non requis,34 774 Km,Essence,automatique,Noir,4,5,12 mois,,,non,,8 CV,163 ch,1,118 g/kmB,5.2 l/100km,EURO6
7,MERCEDES CLASSE A 4,IV 200 D PROGRESSIVE LINE 8G-DCT,33480,31,2021,15/12/2021,non requis,59 077 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,150 ch,2,104 g/kmB,3.9 l/100km,EURO6
8,MERCEDES CLASSE B 2,II (2) 180 D SENSATION 7G-DCT,22580,14,2018,20/03/2018,requis,86 219 Km,Diesel,automatique,NOIR COSMOS,5,5,6 mois,,,non,,6 CV,109 ch,2,113 g/kmB,4.3 l/100km,EURO6
9,MERCEDES GLA,(2) 200 FASCINATION 7G-DCT,32740,66,2020,05/01/2021,non requis,58 823 Km,Essence,automatique,Gris montagne,5,5,24 mois,,Mercedes-Benz Certified,non,,9 CV,156 ch,1,142 g/kmD,10.2 l/100km,EURO6
10,MERCEDES GLC,250 D BUSINESS EXECUTIVE 4MATIC BVA9,43180,31,2019,24/01/2020,non requis,123 128 Km,Diesel,automatique,GRIS F,5,5,6 mois,,,oui,,12 CV,204 ch,2,155 g/kmD,5.9 l/100km,EURO6
