,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES CLASSE A 4,IV 200 PROGRESSIVE LINE 7G-DCT,31790,78,2020,16/05/2020,non requis,35 568 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,8 CV,163 ch,1,118 g/kmB,5.2 l/100km,EURO6
1,MERCEDES CLASSE C 4 SW,IV SW 220 D AVANTGARDE LINE 9G-TRONIC PLUS,54540,66,2022,12/06/2022,non requis,22 320 Km,Diesel,automatique,gris,5,5,,en cours,,non,,10 CV,194 ch,2,135 g/kmC,5.2 l/100km,EURO6
2,MERCEDES VITO 3,III (2) TOURER 2.0 116 CDI LONG 9G-TRONIC RWD PRO,61480,25,2022,04/11/2022,non requis,42 179 Km,Diesel,automatique,obsidianschwarz metallic,5,8,12 mois,,Mercedes Millétoile,non,,9 CV,163 ch,2,184 g/kmE,7 l/100km,EURO6
3,MERCEDES GLE,500 E 4MATIC FASCINATION,46620,25,2017,14/11/2017,requis,126 882 Km,Hybride essence électrique,automatique,blanc,5,5,12 mois,,,non,3,20 CV,333 ch,1,84 g/kmA,,EURO6
4,MERCEDES CLASSE C 5 SW,V SW 220 D AMG LINE 4MATIC BVA9,66520,74,2023,12/07/2023,non requis,33 970 Km,Diesel,automatique,Gris sélénite métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,11 CV,200 ch,2,128 g/kmC,4.9 l/100km,EURO6
5,MERCEDES GLA 2,II 200 PROGRESSIVE LINE DCT,49760,74,2021,28/07/2021,non requis,19 714 Km,Essence,automatique,Argent iridium métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,9 CV,163 ch,1,151 g/kmD,6.6 l/100km,EURO6
6,MERCEDES CLASSE B 3,III B 200 D AMG LINE EDITION 8G-DCT,35720,74,2021,08/12/2021,non requis,64 104 Km,Diesel,automatique,Blanc polaire,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,130 g/kmC,5 l/100km,EURO6
7,MERCEDES CLASSE A 4,IV 180 D AMG LINE 8G-DCT,40130,74,2022,10/10/2022,non requis,33 758 Km,Diesel,automatique,Noir cosmos métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,,6 CV,116 ch,2,134 g/kmC,5.1 l/100km,EURO6
8,MERCEDES GLE,350 D 4MATIC FASCINATION,50190,74,2016,16/10/2016,requis,108 802 Km,Diesel,automatique,Noir obsidienne,5,5,12 mois,,,non,,17 CV,258 ch,2,198 g/kmE,7.5 l/100km,EURO6
9,MERCEDES CLASSE C 4 CABRIOLET,IV CABRIOLET 220 D SPORTLINE 9G-TRONIC,40560,74,2018,19/05/2018,requis,62 323 Km,Diesel,automatique,Gris sélénite  métallisée,2,4,24 mois,,Mercedes-Benz Certified,non,,9 CV,170 ch,2,133 g/kmC,5.2 l/100km,EURO6
10,MERCEDES CLASSE A 4,IV 180 D AMG LINE 7G-DCT,32070,74,2020,16/03/2020,non requis,102 047 Km,Diesel,automatique,Blanc polaire,5,5,24 mois,,Mercedes-Benz Certified,oui,,6 CV,116 ch,2,107 g/kmB,4 l/100km,EURO6
11,MERCEDES GLC COUPE,(2) 300 DE AMG LINE 4MATIC,75120,74,2022,12/12/2022,non requis,56 229 Km,Hybride diesel électrique,automatique,Argent high-tech métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,,11 CV,306 ch,1,50 g/kmA,1.9 l/100km,EURO6
12,MERCEDES CLA 2 SHOOTING BRAKE,II SHOOTING BRAKE 250 E AMG LINE 8G-DCT,56520,74,2021,11/02/2021,non requis,6 589 Km,Hybride essence électrique,automatique,Noir,5,5,24 mois,,Mercedes-Benz Certified,non,,8 CV,160 ch,1,,,EURO6
13,MERCEDES GLA,200 D SENSATION,26960,30,2017,03/09/2017,requis,99 237 Km,Diesel,mécanique,Blanc cirrus,5,5,12 mois,,SPOTICAR,non,,7 CV,136 ch,2,115 g/kmB,4.4 l/100km,EURO6
14,MERCEDES CLASSE E 4 CABRIOLET,IV CABRIOLET 220 CDI BLUEEFFICIENCY EXECUTIVE 7G-TRONIC PLUS,21780,06,2013,13/05/2013,requis,118 756 Km,Diesel,automatique,GRIS,2,4,6 mois,,,non,,9 CV,170 ch,2,142 g/kmD,5.4 l/100km,EURO5
15,MERCEDES GLE,350 D 4MATIC FASCINATION,47020,06,2016,10/03/2016,requis,128 464 Km,Diesel,automatique,BLANC,5,5,6 mois,,,non,,17 CV,258 ch,2,198 g/kmE,7.5 l/100km,EURO6
16,MERCEDES VITO,110 CDI PRO,26100,42,2021,06/01/2022,non requis,66 128 Km,Diesel,mécanique,BLANC,4,,12 mois,,,oui,,6 CV,,,,,
17,MERCEDES VITO,113 CDI 500 BLUEEFFICIENCY 54,29680,63,2011,12/09/2011,requis,59 950 Km,Diesel,automatique,gris,5,,3 mois,,,non,,9 CV,136 ch,,,,
18,MERCEDES CLA SHOOTING BRAKE AMG,(2) SHOOTING BRAKE 45 AMG 4MATIC 7G-DCT,36920,67,2016,15/11/2016,requis,103 550 Km,Essence,automatique,gris anthracite metal,5,5,12 mois,,,oui,,26 CV,381 ch,1,162 g/kmE,6.9 l/100km,EURO6
19,MERCEDES CLA,(2) 180 D INSPIRATION,24580,93,2018,20/10/2018,requis,79 950 Km,Diesel,mécanique,noir verni,4,5,6 mois,,,non,4,5 CV,109 ch,2,103 g/kmB,3.5 l/100km,EURO6
20,MERCEDES CLASSE S 7 CABRIOLET,VII CABRIOLET 500,115170,67,2017,08/12/2017,requis,68 200 Km,Essence,automatique,noir metal,2,4,12 mois,,,oui,,34 CV,455 ch,1,199 g/kmE,8.5 l/100km,EURO6
21,MERCEDES CLASSE C 4 SW,IV SW 220 D AVANTGARDE LINE 9G-TRONIC PLUS,48380,38,2022,22/11/2022,non requis,19 800 Km,Diesel,automatique,gris,5,5,,en cours,,non,,10 CV,194 ch,2,135 g/kmC,5.2 l/100km,EURO6
22,MERCEDES CLASSE A 3 AMG,III 45 AMG 4MATIC,34200,94,2017,25/11/2017,requis,138 592 Km,Essence,automatique,blanc metal,5,5,3 mois,,,non,2,26 CV,381 ch,1,171 g/kmE,6 l/100km,EURO6
23,MERCEDES CLASSE C 4,IV (2) 220 D AMG LINE 9G-TRONIC,40590,36,2020,13/06/2020,non requis,70 290 Km,Diesel,automatique,GRIS C,4,5,3 mois,,,non,,10 CV,194 ch,2,130 g/kmC,4.9 l/100km,EURO6
24,MERCEDES GLC COUPE,220 D 10CV SPORTLINE 4MATIC,39000,85,2019,22/06/2019,non requis,160 012 Km,Diesel,automatique,NOIR,5,5,6 mois,,,oui,,10 CV,170 ch,2,155 g/kmD,5.9 l/100km,EURO6
25,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 8G-DCT,30970,85,2022,02/02/2022,non requis,36 682 Km,Diesel,automatique,Noir,5,5,24 mois,en cours,Mercedes-Benz Certified,oui,,6 CV,116 ch,2,132 g/kmC,5 l/100km,EURO6
26,MERCEDES GLB,200 D AMG LINE 8G-DCT,55250,69,2022,28/02/2022,non requis,26 668 Km,Diesel,automatique,noir metal,5,7,12 mois,,Mercedes Millétoile,oui,1,8 CV,150 ch,2,151 g/kmD,5.4 l/100km,EURO6
27,MERCEDES GLC COUPE,(2) 2.9 400 D 4MATIC AMG LINE 9G-TRONIC,77460,74,2020,14/12/2020,non requis,71 586 Km,Diesel,automatique,gris foncé metal,5,5,6 mois,,,non,2,22 CV,330 ch,2,,,EURO6
28,MERCEDES CLASSE V 2 EXTRA-LONG,II EXTRA-LONG 220 D BUSINESS EXECUTIVE AUTO,23870,30,2017,30/06/2017,requis,467 610 Km,Diesel,automatique,noir metal,5,8,,,,non,3,9 CV,163 ch,2,154 g/kmD,5.4 l/100km,EURO6
29,MERCEDES CLASSE A 4,IV 180 AMG LINE 7G-DCT,33330,21,2020,01/07/2020,non requis,45 381 Km,Essence,automatique,BLANC,5,5,12 mois,,,oui,1,7 CV,136 ch,1,118 g/kmB,5.2 l/100km,EURO6
