,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 3008 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S STYLE EAT8,41190,40,2023,15/08/2023,non requis,6 274 Km,Essence,automatique,NOIR PERLA,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,144 g/kmD,6.4 l/100km,EURO6
1,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S GT,29930,40,2023,07/12/2023,non requis,13 174 Km,Diesel,mécanique,GRIS ARTENSE,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,2,106 g/kmB,4 l/100km,EURO6
2,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE PACK BVM6,22240,40,2023,15/05/2023,non requis,29 253 Km,Essence,mécanique,JAUNE FARO,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,115 g/kmB,5.1 l/100km,EURO6
3,PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV GT EAT8,31320,14,2022,22/02/2022,non requis,72 525 Km,Diesel,automatique,BLANC,5,5,,en cours,,oui,,7 CV,130 ch,2,136 g/kmC,5.2 l/100km,EURO6
4,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S GT LINE EAT8,24500,74,2021,15/11/2021,non requis,71 342 Km,Diesel,automatique,Bleu,5,5,6 mois,,,oui,,6 CV,130 ch,2,129 g/kmC,4.9 l/100km,EURO6
5,PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S GT,28500,74,2023,21/06/2023,non requis,15 858 Km,Diesel,mécanique,Gris fonce,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,108 g/kmB,4 l/100km,EURO6
6,PEUGEOT 2008,(2) 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS,19850,01,2020,24/02/2020,non requis,70 459 Km,Diesel,mécanique,BLANC,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,2,86 g/kmA,3.5 l/100km,EURO6
7,PEUGEOT 308 (2E GENERATION),II (2) 2.0 BLUEHDI 180 S&S GT EAT8,23190,01,2019,18/04/2019,non requis,101 907 Km,Diesel,automatique,ROUGE,5,5,12 mois,,SPOTICAR,non,,9 CV,180 ch,2,116 g/kmB,4.4 l/100km,EURO6
8,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S EAT8 ALLURE PACK,29250,01,2022,24/09/2022,non requis,11 082 Km,Essence,automatique,BLANC,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,122 g/kmC,5.4 l/100km,EURO6
9,PEUGEOT 208,(2) 1.2 PURETECH 82 SIGNATURE 5P,15800,01,2020,30/09/2020,non requis,59 250 Km,Essence,mécanique,BLANC,5,5,12 mois,,SPOTICAR,non,,4 CV,82 ch,1,108 g/kmB,4.7 l/100km,EURO6
10,PEUGEOT 208,1.4 E-HDI FAP 68 ACTIVE BLUE LION BMP5 5P,11760,01,2014,27/04/2014,requis,76 780 Km,Diesel,automatique,ROUGE,5,5,3 mois,,,non,,3 CV,68 ch,2,87 g/kmA,3.4 l/100km,EURO5
11,PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE EURO6,23490,01,2019,23/07/2019,non requis,33 600 Km,Essence,mécanique,BLEU,5,5,12 mois,,SPOTICAR,non,,7 CV,130 ch,1,115 g/kmB,5.1 l/100km,EURO6
12,PEUGEOT EXPERT 3 FOURGON,III 2.0 BLUEHDI 150 S&S PREMIUM STANDARD,24340,35,2020,18/10/2020,non requis,140 761 Km,Diesel,mécanique,BLANC,4,3,12 mois,,,non,,7 CV,150 ch,2,137 g/kmC,5.2 l/100km,EURO6
13,PEUGEOT 2008,1.6 E-HDI 115 ALLURE,11650,35,2015,27/01/2016,requis,133 193 Km,Diesel,mécanique,NOIR,5,5,12 mois,,,non,,6 CV,115 ch,2,105 g/kmB,4 l/100km,EURO5
14,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,26000,59,2020,27/08/2020,non requis,100 430 Km,Diesel,automatique,NOIR,5,5,6 mois,,,oui,,6 CV,130 ch,2,102 g/kmB,4 l/100km,EURO6
15,PEUGEOT 208,(2) 1.6 BLUEHDI 75 S&S ACTIVE BUSINESS 5P,12160,59,2018,09/04/2018,requis,55 332 Km,Diesel,mécanique,BLANC,5,5,6 mois,,,non,,3 CV,75 ch,2,79 g/kmA,3 l/100km,EURO6
16,PEUGEOT 508 (2E GENERATION),II 2.0 BLUEHDI 160 S&S ALLURE BUSINESS EAT8,26730,14,2019,03/12/2019,non requis,47 769 Km,Diesel,automatique,BLEU F,5,5,12 mois,,,oui,,8 CV,160 ch,2,118 g/kmB,4.5 l/100km,EURO6
17,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ACTIVE PACK,26020,74,2023,18/01/2024,non requis,5 850 Km,Essence,mécanique,Gris,5,5,24 mois,,,oui,1,5 CV,101 ch,1,115 g/kmB,5.1 l/100km,EURO6
18,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S EAT8 ALLURE PACK,29130,77,2023,17/08/2023,non requis,12 Km,Essence,automatique,gris clair,5,5,24 mois,,,non,,7 CV,130 ch,1,120 g/kmB,5.3 l/100km,EURO6
19,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 155 S&S GT PACK EAT8,39510,77,2023,07/01/2024,non requis,12 Km,Essence,automatique,bleu,5,5,12 mois,,,oui,,8 CV,155 ch,1,139 g/kmC,6.2 l/100km,EURO6
20,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE PACK,24290,76,2022,15/07/2022,non requis,15 711 Km,Essence,mécanique,rouge,5,5,12 mois,en cours,SPOTICAR,non,4,5 CV,100 ch,2,118 g/kmB,5.3 l/100km,EURO4
21,PEUGEOT 308 (2E GENERATION) GTI,II (2) 1.6 PURETECH 263 S&S GTI BY PEUGEOT SPORT,32670,33,2020,16/10/2020,non requis,46 256 Km,Essence,mécanique,gris foncé,5,5,12 mois,,,non,6,16 CV,263 ch,1,148 g/kmD,6.5 l/100km,EURO6
22,PEUGEOT 208,1.0 PURETECH 68 LIKE 3P,11300,75,2016,16/04/2016,requis,84 216 Km,Essence,mécanique,blanc,3,5,12 mois,,,non,,4 CV,68 ch,1,99 g/kmA,3.8 l/100km,EURO5
23,PEUGEOT 508 (2E GENERATION),II 1.6 PURETECH 225 S&S 12CV GT EAT8,42220,91,2020,01/08/2020,non requis,25 796 Km,Essence,automatique,gris,5,5,12 mois,,,non,2,13 CV,224 ch,1,130 g/kmC,5.7 l/100km,EURO6
