,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
21,PEUGEOT 508 (2E GENERATION),II 2.0 BLUEHDI 160 S&S GT LINE EAT8,29380,44,2020,03/12/2020,non requis,105 477 Km,Diesel,automatique,bleu,5,5,12 mois,,SPOTICAR,non,3,8 CV,163 ch,2,118 g/kmB,4.5 l/100km,EURO6
22,PEUGEOT BOXER 2,II 2.0 BLUEHDI 110 330 L1H1 ACCESS,29310,24,2017,11/06/2017,requis,33 405 Km,Diesel,mécanique,BLANC,3,9,12 mois,,,oui,1,6 CV,110 ch,2,153 g/kmD,5.6 l/100km,EURO6
23,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S EAT8 ALLURE PACK,32170,47,2023,27/03/2023,non requis,1 815 Km,Essence,automatique,Teinte spéciale Rouge Elixir,5,5,12 mois,,Occasions du Lion PREMIUM,oui,1,7 CV,131 ch,1,120 g/kmB,5.3 l/100km,EURO6
24,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE ALLURE,28480,13,2021,24/08/2021,non requis,12 068 Km,Electrique,automatique,rouge,5,5,12 mois,,SPOTICAR,oui,1,2 CV,78 ch,0,0 g/kmA,,EURO6
25,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID 225 ROADTRIP E-EAT8 2020,46460,47,2023,10/06/2023,non requis,6 121 Km,Hybride essence électrique,automatique,Teinte spéciale Blanc Nacré,5,5,12 mois,,Occasions du Lion PREMIUM,oui,1,10 CV,181 ch,1,31 g/kmA,,EURO6
26,PEUGEOT 308 (3E GENERATION),III 1.6 PHEV 225 GT PACK E-EAT8,50410,59,2022,18/09/2022,non requis,7 833 Km,Hybride essence électrique,automatique,bleu,5,5,12 mois,en cours,SPOTICAR,oui,1,10 CV,225 ch,1,26 g/kmA,1.2 l/100km,EURO6
27,PEUGEOT 2008 (2E GENERATION),1.2 PURETECH 130 GT PACK EAT8,35730,38,2023,08/04/2023,non requis,309 Km,Essence,automatique,blanc,5,,,,,oui,,7 CV,130 ch,,135 g/kmC,,
28,PEUGEOT 308 (2E GENERATION),II (2) 2.0 BLUEHDI 180 S&S GT EAT8,35940,33,2021,06/03/2021,non requis,32 266 Km,Diesel,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,9 CV,177 ch,2,155 g/kmD,5.9 l/100km,EURO6
29,PEUGEOT 208,1.6 E-HDI 92 4CV XY 3P,13480,11,2015,12/08/2015,requis,85 015 Km,Diesel,mécanique,violet,3,5,3 mois,,,non,2,4 CV,93 ch,2,95 g/kmA,3.3 l/100km,EURO5
30,PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 75 PREMIUM PACK,9510,33,2018,06/04/2018,requis,97 374 Km,Diesel,mécanique,gris,5,2,12 mois,,SPOTICAR,non,1,4 CV,75 ch,2,90 g/kmA,3 l/100km,EURO6
