,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,RENAULT CLIO 4,IV (2) 0.9 TCE 90 INTENS,16120,10,2020,27/11/2020,non requis,59 858 Km,Essence,mécanique,platine,5,5,12 mois,,,oui,1,5 CV,90 ch,1,113 g/kmB,5 l/100km,EURO6
1,RENAULT CAPTUR 2,II 1.0 TCE 100 GPL INTENS MY21,23850,31,2022,06/09/2022,non requis,35 520 Km,Bicarburation essence GPL,mécanique,blanc,5,5,36 mois,en cours,,oui,1,5 CV,101 ch,1,120 g/kmB,7.7 l/100km,EURO6
2,RENAULT CAPTUR 2,II 1.6 E-TECH 145 RS LINE 21B,29780,28,2022,08/07/2022,non requis,48 303 Km,Hybride essence électrique,automatique,gris,5,5,12 mois,en cours,,oui,1,5 CV,94 ch,1,114 g/kmB,,EURO6
3,RENAULT MEGANE 4,IV (2) 1.6 E-TECH PLUG-IN HYBRIDE 160 INTENS,29520,28,2022,24/08/2022,non requis,23 836 Km,Hybride essence électrique,automatique,gris titanium,5,5,24 mois,en cours,,oui,1,5 CV,94 ch,1,28 g/kmA,,EURO6
4,RENAULT CAPTUR 2,TECHNO 1.0 TCE 90CH MANUELLE,28300,77,2023,06/07/2023,non requis,11 Km,Essence,mécanique,noir,5,,24 mois,,,non,,5 CV,90 ch,,133 g/kmC,,
5,RENAULT CAPTUR 2,II 1.0 TCE 90 ENERGY INTENS MY21,22010,28,2022,19/09/2022,non requis,57 913 Km,Essence,mécanique,blanc,5,5,12 mois,en cours,,oui,1,5 CV,91 ch,1,134 g/kmC,6 l/100km,EURO6
6,RENAULT CAPTUR 2,TECHNO 1.0 TCE 90CH MANUELLE,28560,77,2023,20/12/2023,non requis,11 Km,Essence,mécanique,gris,5,,24 mois,,,non,,5 CV,90 ch,,133 g/kmC,,
7,RENAULT MEGANE 4,IV 1.5 DCI 110 ENERGY INTENS,18130,75,2018,17/11/2018,requis,67 234 Km,Diesel,mécanique,noir,5,5,12 mois,,,non,,5 CV,110 ch,2,95 g/kmA,3.5 l/100km,EURO6
8,RENAULT KADJAR,1.6 DCI ENERGY BOSE EDITION X-TRONIC 130 CH,22490,75,2019,17/04/2019,non requis,59 129 Km,Diesel,automatique,gris,5,,12 mois,,,non,,7 CV,130 ch,,,,
9,RENAULT CLIO 5,V 1.6 E-TECH 140 5CV INTENS,21920,10,2022,18/03/2022,non requis,47 653 Km,Hybride essence électrique,automatique,gris titanium,5,5,,en cours,,oui,1,5 CV,91 ch,1,99 g/kmA,,EURO6
10,RENAULT MEGANE 4,IV (2) 1.3 TCE 140 FAP INTENS,21270,10,2022,07/06/2022,non requis,59 665 Km,Essence,mécanique,gris titanium,5,5,12 mois,en cours,,oui,1,7 CV,140 ch,1,131 g/kmC,6.2 l/100km,EURO6
11,RENAULT TWINGO 3,III 0.9 TCE 90 ENERGY INTENS E6C,11750,75,2019,01/11/2019,non requis,50 101 Km,Essence,mécanique,gris,5,4,12 mois,,,non,,4 CV,90 ch,1,99 g/kmA,3.9 l/100km,EURO6
12,RENAULT KADJAR,(2) 1.3 TCE 160 FAP INTENS EDC,30460,91,2022,07/07/2022,non requis,10 039 Km,Essence,automatique,bleu azur,5,5,,en cours,,non,,8 CV,158 ch,1,140 g/kmC,6.3 l/100km,EURO6
13,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,15370,78,2021,26/01/2022,non requis,48 565 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
14,RENAULT TWINGO 3,III 0.9 TCE 90 LIMITED EDC E6C,11780,63,2017,08/12/2017,requis,65 410 Km,Essence,automatique,gris clair,5,4,12 mois,,,non,2,5 CV,90 ch,1,108 g/kmB,5.3 l/100km,EURO6
15,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,17690,91,2021,20/12/2021,non requis,43 653 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
16,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16090,91,2021,23/07/2021,non requis,27 208 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
17,RENAULT KADJAR,(2) 1.3 TCE 160 FAP INTENS EDC,30460,91,2022,07/07/2022,non requis,10 039 Km,Essence,automatique,bleu azur,5,5,,en cours,,non,,8 CV,158 ch,1,140 g/kmC,6.3 l/100km,EURO6
18,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,15370,78,2021,26/01/2022,non requis,48 565 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
19,RENAULT TWINGO 3,III 0.9 TCE 90 LIMITED EDC E6C,11780,63,2017,08/12/2017,requis,65 410 Km,Essence,automatique,gris clair,5,4,12 mois,,,non,2,5 CV,90 ch,1,108 g/kmB,5.3 l/100km,EURO6
20,RENAULT MEGANE 4,IV (2) 1.3 TCE 140 FAP RS LINE,24670,63,2022,07/12/2022,non requis,13 276 Km,Essence,mécanique,rouge,5,5,12 mois,en cours,,non,2,7 CV,140 ch,1,137 g/kmC,5.7 l/100km,EURO6
21,RENAULT CAPTUR 2,II 1.3 TCE 130 FAP INTENS EDC,26900,63,2021,05/08/2021,non requis,17 567 Km,Essence,automatique,bleu,5,5,12 mois,,,non,2,7 CV,131 ch,1,145 g/kmD,6.4 l/100km,EURO6
22,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16240,78,2021,05/03/2021,non requis,48 706 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
23,RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.3 TCE 140 FAP BUSINESS,23210,91,2022,17/07/2022,non requis,11 Km,Essence,mécanique,blanc,5,5,,en cours,,non,,7 CV,140 ch,1,149 g/kmD,6.2 l/100km,EURO6
24,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,15330,78,2021,27/07/2021,non requis,34 721 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
25,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16870,63,2021,27/08/2021,non requis,55 038 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
26,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,18620,63,2021,09/05/2021,non requis,52 736 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
27,RENAULT CLIO 4,IV (2) 1.5 DCI 90 BUSINESS,14830,78,2020,23/06/2020,non requis,27 756 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,5 CV,90 ch,2,104 g/kmB,4 l/100km,EURO6
28,RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 115 BLUE BUSINESS,21350,63,2021,14/09/2021,non requis,20 463 Km,Diesel,mécanique,bleu,5,5,12 mois,,,oui,1,6 CV,116 ch,2,119 g/kmB,4.8 l/100km,EURO6
29,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16980,78,2021,02/04/2021,non requis,45 266 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
30,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,17280,78,2021,04/12/2021,non requis,39 837 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
31,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,17690,91,2021,20/12/2021,non requis,43 653 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
32,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16090,91,2021,23/07/2021,non requis,27 208 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
33,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16240,78,2021,05/03/2021,non requis,48 706 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
34,RENAULT MEGANE 4,IV (2) 1.3 TCE 140 FAP RS LINE,24670,63,2022,07/12/2022,non requis,13 276 Km,Essence,mécanique,rouge,5,5,12 mois,en cours,,non,2,7 CV,140 ch,1,137 g/kmC,5.7 l/100km,EURO6
35,RENAULT MEGANE 4 ESTATE,IV (2) ESTATE 1.3 TCE 140 FAP BUSINESS,23210,91,2022,17/07/2022,non requis,11 Km,Essence,mécanique,blanc,5,5,,en cours,,non,,7 CV,140 ch,1,149 g/kmD,6.2 l/100km,EURO6
36,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,15330,78,2021,27/07/2021,non requis,34 721 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
37,RENAULT CAPTUR 2,II 1.3 TCE 130 FAP INTENS EDC,26900,63,2021,05/08/2021,non requis,17 567 Km,Essence,automatique,bleu,5,5,12 mois,,,non,2,7 CV,131 ch,1,145 g/kmD,6.4 l/100km,EURO6
38,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,16870,63,2021,27/08/2021,non requis,55 038 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
39,RENAULT CLIO 5,V 1.5 BLUE DCI 85 BUSINESS,18620,63,2021,09/05/2021,non requis,52 736 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,4 CV,86 ch,2,110 g/kmB,4.2 l/100km,EURO6
40,RENAULT CLIO 4,IV (2) 1.5 DCI 90 BUSINESS,14830,78,2020,23/06/2020,non requis,27 756 Km,Diesel,mécanique,platine,5,5,12 mois,,,oui,1,5 CV,90 ch,2,104 g/kmB,4 l/100km,EURO6
41,RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 115 BLUE BUSINESS,21350,63,2021,14/09/2021,non requis,20 463 Km,Diesel,mécanique,bleu,5,5,12 mois,,,oui,1,6 CV,116 ch,2,119 g/kmB,4.8 l/100km,EURO6
42,RENAULT CLIO 5,V 1.3 TCE 130 FAP INTENS EDC,21750,91,2021,28/09/2021,non requis,57 311 Km,Essence,automatique,Blanc,5,5,6 mois,,,oui,,7 CV,130 ch,1,130 g/kmC,5.7 l/100km,EURO6
43,RENAULT TRAFIC 3 COMBI,III COMBI 1.6 DCI 125 ENERGY INTENS L2 8PL,29630,28,2018,09/10/2018,requis,91 014 Km,Diesel,mécanique,gris,3,9,12 mois,,,non,2,7 CV,125 ch,2,149 g/kmD,5.2 l/100km,EURO6
