,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,MERCEDES CLASSE B 3,III B 200 D 7CV AMG LINE EDITION 8G-DCT,40450,76,2020,05/07/2020,non requis,57 844 Km,Diesel,automatique,Argent iridium métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,150 ch,2,104 g/kmB,3.9 l/100km,EURO6
1,MERCEDES GLC COUPE,250 D FASCINATION 4MATIC 9G-TRONIC,70070,78,2018,21/01/2019,non requis,52 943 Km,Diesel,automatique,Blanc polaire,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,204 ch,2,143 g/kmD,5.4 l/100km,EURO6
2,MERCEDES GLA 2,II 200 D AMG LINE DCT,48170,28,2021,23/11/2021,non requis,78 869 Km,Diesel,automatique,Gris montagne métallisé,5,5,24 mois,,Mercedes-Benz Certified,oui,,8 CV,150 ch,2,142 g/kmD,5.4 l/100km,EURO6
3,MERCEDES CLASSE A 4,IV 180 STYLE LINE,37180,44,2021,05/02/2021,non requis,43 954 Km,Essence,mécanique,NOIR,5,5,24 mois,,Mercedes-Benz Certified,non,,7 CV,136 ch,1,135 g/kmC,5.9 l/100km,EURO6
4,MERCEDES CLASSE E 5,V 220 D AMG LINE 9G-TRONIC,46620,44,2021,07/07/2021,non requis,71 843 Km,Diesel,automatique,GRIS C,4,5,24 mois,,Mercedes-Benz Certified,non,,10 CV,194 ch,2,123 g/kmC,4.7 l/100km,EURO6
5,MERCEDES CLASSE CLS 3,III 53 AMG 4MATIC+,115880,73,2021,12/04/2021,non requis,47 438 Km,Essence,automatique,Gris sélénite magno designo,4,5,24 mois,,Mercedes-Benz Certified,non,,25 CV,435 ch,1,,,EURO6
6,MERCEDES CLASSE A 4,IV 180 D PROGRESSIVE LINE 8G-DCT,32590,73,2022,07/05/2022,non requis,25 179 Km,Diesel,automatique,Bleu denim métallisé,5,5,24 mois,en cours,Mercedes-Benz Certified,non,,6 CV,116 ch,2,132 g/kmC,5 l/100km,EURO6
7,MERCEDES GLC,(2) 220 D AMG LINE LAUNCH EDITION 4MATIC,52810,73,2020,04/04/2020,non requis,59 897 Km,Diesel,automatique,Gris sélénite métallisé,5,5,24 mois,,Mercedes-Benz Certified,non,,11 CV,194 ch,2,139 g/kmC,6 l/100km,EURO6
8,MERCEDES GLC COUPE,(2) 300 D 4MATIC AMG LINE 9G-TRONIC,61840,73,2020,31/01/2021,non requis,52 343 Km,Diesel,automatique,Blanc polaire,5,5,24 mois,,Mercedes-Benz Certified,non,,14 CV,245 ch,2,,,EURO6
9,MERCEDES GLA,(2) 180 INSPIRATION,25570,73,2020,12/11/2020,non requis,62 007 Km,Essence,mécanique,Noir cosmos,5,5,24 mois,,Mercedes-Benz Certified,oui,,7 CV,122 ch,1,148 g/kmD,9.2 l/100km,EURO6
