,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
1338,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE PACK MY21,24760,81,2023,29/06/2023,non requis,9 887 Km,Essence,mécanique,Gris Platinium,5,5,12 mois,,SPOTICAR,non,,5 CV,100 ch,1,118 g/kmB,5.3 l/100km,EURO6
1339,PEUGEOT 208,(2) 1.2 PURETECH 82 SIGNATURE 5P,14540,24,2020,05/04/2020,non requis,62 738 Km,Essence,mécanique,Noir,5,5,12 mois,,,oui,,4 CV,82 ch,1,108 g/kmB,4.7 l/100km,EURO6
1340,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS,18850,24,2020,27/05/2020,non requis,73 000 Km,Diesel,mécanique,Gris Platinium,5,5,12 mois,,,oui,,6 CV,130 ch,2,92 g/kmA,3.5 l/100km,EURO6
1341,PEUGEOT 2008,(2) 1.6 BLUEHDI 100 S&S ALLURE BUSINESS,18220,24,2018,12/11/2018,requis,95 790 Km,Diesel,mécanique,Noir,5,5,12 mois,,,oui,,5 CV,100 ch,2,90 g/kmA,3.5 l/100km,EURO6
1342,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE PACK EAT8,29050,02,2022,16/02/2022,non requis,45 154 Km,Essence,automatique,Rouge,5,5,12 mois,en cours,SPOTICAR,oui,1,7 CV,131 ch,1,136 g/kmC,6 l/100km,EURO6
1343,PEUGEOT 5008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE,28300,63,2018,12/05/2018,requis,94 307 Km,Essence,mécanique,Gris Artense (M),5,7,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,124 g/kmC,4.9 l/100km,EURO6
1344,PEUGEOT E-208 (2E GENERATION),II ELECTRIQUE GT PACK,46350,03,2023,14/04/2023,non requis,7 021 Km,Electrique,automatique,Bleu Vertigo,5,5,12 mois,,SPOTICAR,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
1345,PEUGEOT 3008 (2E GENERATION),II (2) 1.6 HYBRID4 300 ALLURE PACK E-EAT8 2020,51360,42,2023,30/11/2023,non requis,13 085 Km,Hybride essence électrique,automatique,rouge,5,5,20 mois,,,non,,11 CV,300 ch,1,,,EURO6
1346,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT EAT8,32430,42,2022,02/03/2022,non requis,21 562 Km,Essence,automatique,blanc,5,5,20 mois,en cours,,non,,7 CV,130 ch,1,136 g/kmC,6 l/100km,EURO6
1347,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S EAT8 ALLURE PACK,39530,31,2023,19/09/2023,non requis,25 Km,Diesel,automatique,blanc,5,5,24 mois,,,non,,7 CV,130 ch,2,132 g/kmC,5 l/100km,EURO6
1348,PEUGEOT 2008 (2E GENERATION),II 1.5 BLUEHDI 110 S&S ALLURE PACK MY21,29670,31,2023,16/12/2023,non requis,22 Km,Diesel,mécanique,gris,5,5,24 mois,,,non,,6 CV,110 ch,2,116 g/kmB,4.4 l/100km,EURO6
1349,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S ACTIVE BUSINESS EAT8,15480,69,2019,01/04/2019,non requis,160 770 Km,Diesel,automatique,noir,5,5,6 mois,,,oui,1,6 CV,131 ch,2,93 g/kmA,3.6 l/100km,EURO6
1350,PEUGEOT 208,(2) 1.2 PURETECH 110 S&S GT LINE EAT6 5P,17020,94,2018,09/07/2018,requis,97 409 Km,Essence,automatique,gris,5,5,12 mois,,,non,2,5 CV,110 ch,1,104 g/kmB,3.8 l/100km,EURO6
1351,PEUGEOT RIFTER,1.2 PURETECH 110 S&S ACTIVE,26230,69,2020,18/03/2020,non requis,13 750 Km,Essence,mécanique,blanc,5,5,,,,non,3,6 CV,110 ch,1,119 g/kmB,5.5 l/100km,EURO6
