,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN BERLINGO 3 VAN,III (2) VAN TAILLE M 650 BLUEHDI 130 S&S EAT8,28500,24,2023,16/01/2024,non requis,124 Km,Diesel,automatique,gris,4,5,24 mois,,,non,3,5 CV,130 ch,3,152 g/kmD,5.7 l/100km,EURO4
1,CITROEN C3 AIRCROSS,1.5 BLUEHDI 120 S&S EAT6 SHINE,24340,33,2020,06/09/2020,non requis,31 118 Km,Diesel,automatique,beige,5,5,12 mois,,SPOTICAR,oui,1,6 CV,120 ch,2,102 g/kmB,4 l/100km,EURO6
2,CITROEN C3 AIRCROSS,SHINE 1.5 BLUEHDI 120CH AUTOMATIQUE,19100,77,2019,30/06/2019,non requis,87 140 Km,Diesel,automatique,gris,5,,12 mois,,,non,,6 CV,120 ch,,102 g/kmB,,
3,CITROEN E-C4 (3E GENERATION),III E 136 (100 KW) FEEL PACK AUTO,35800,76,2023,20/12/2023,non requis,12 200 Km,Electrique,automatique,noir,5,5,,,,oui,1,4 CV,78 ch,0,0 g/kmA,,EURO6
4,CITROEN C5 AIRCROSS,(2) 1.2 PURETECH 130 S&S EAT8 SHINE PACK,45900,77,2023,28/01/2024,non requis,12 Km,Essence,automatique,blanc,5,5,24 mois,,,oui,1,7 CV,131 ch,1,149 g/kmD,6.5 l/100km,EURO6
5,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 130 7CV S&S SHINE EAT6,28880,91,2022,09/11/2022,non requis,268 Km,Essence,automatique,blanc,5,5,,,,non,2,7 CV,131 ch,1,114 g/kmB,6.1 l/100km,EURO6
6,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S SHINE BV6,29150,63,2022,22/01/2023,non requis,16 763 Km,Diesel,mécanique,gris foncé,5,5,,,,oui,2,6 CV,110 ch,2,115 g/kmB,,EURO6
7,CITROEN C4 (2E GENERATION),II (2) 1.6 BLUEHDI 120 S&S MILLENIUM EAT6,13760,63,2017,27/05/2017,requis,108 467 Km,Diesel,automatique,gris foncé,5,5,12 mois,,,non,3,6 CV,120 ch,2,98 g/kmA,3.5 l/100km,EURO6
8,CITROEN GRAND C4 SPACETOURER,1.2 PURETECH 130 S&S FEEL EAT8,39250,91,2022,03/09/2022,non requis,19 501 Km,Essence,automatique,gris,5,7,,en cours,,non,,7 CV,131 ch,1,,,EURO6
9,CITROEN GRAND C4 SPACETOURER,1.2 PURETECH 130 S&S 7CV SHINE PACK EAT8,34340,91,2022,17/07/2022,non requis,24 202 Km,Essence,automatique,blanc,5,7,,en cours,,non,,7 CV,131 ch,1,149 g/kmD,6.8 l/100km,EURO6
10,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S FEEL PACK BVM6,30120,63,2022,20/01/2023,non requis,26 152 Km,Essence,mécanique,gris,5,5,,,,non,,7 CV,130 ch,1,140 g/kmC,6.1 l/100km,EURO6
11,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S SHINE,15500,63,2019,09/05/2019,non requis,98 710 Km,Essence,mécanique,bleu foncé,5,5,12 mois,,,non,3,4 CV,82 ch,1,109 g/kmB,4.1 l/100km,EURO6
12,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 120 S&S SHINE EAT6,25280,63,2022,10/04/2022,non requis,39 105 Km,Diesel,automatique,noir,5,5,12 mois,en cours,,oui,1,6 CV,120 ch,2,134 g/kmC,5 l/100km,EURO6
13,CITROEN C1,(3) 1.0 CONFORT 3P,9160,91,2015,14/07/2015,requis,42 273 Km,Essence,mécanique,blanc,3,4,12 mois,,,non,2,4 CV,68 ch,1,99 g/kmA,3.8 l/100km,EURO5
14,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S SHINE BV6,25330,63,2020,21/07/2020,non requis,65 239 Km,Essence,mécanique,noir,5,5,12 mois,,,non,2,7 CV,131 ch,1,118 g/kmB,5.3 l/100km,EURO6
15,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S SHINE,14600,91,2018,11/12/2018,requis,74 371 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,non,2,5 CV,99 ch,2,95 g/kmA,3.2 l/100km,EURO6
16,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 130 S&S FEEL PACK EAT8,28500,76,2021,26/08/2021,non requis,50 315 Km,Diesel,automatique,Gris,5,5,6 mois,en cours,,non,2,7 CV,131 ch,2,120 g/kmB,4.5 l/100km,EURO6
17,CITROEN BERLINGO 3,III TAILLE M 650KG BLUEHDI 75 CLUB,14730,59,2020,09/03/2020,non requis,139 377 Km,Diesel,mécanique,blanc,5,3,8 mois,,SPOTICAR,oui,1,5 CV,75 ch,2,114 g/kmB,4.1 l/100km,EURO6
