,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV SHINE BV6,29380,33,2022,30/11/2022,non requis,23 228 Km,Diesel,mécanique,GRIS PLATINIUM,5,5,12 mois,en cours,,oui,1,7 CV,131 ch,2,131 g/kmC,5.2 l/100km,EURO6
1,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL BUSINESS,14970,33,2021,09/06/2021,non requis,32 146 Km,Essence,mécanique,BLANC,5,5,12 mois,,,oui,1,4 CV,83 ch,1,128 g/kmC,5.6 l/100km,EURO6
2,CITROEN C3 (3E GENERATION),SHINE 1.2 PURETECH S&S 110CH AUTOMATIQUE,28390,77,2023,25/03/2023,non requis,12 Km,Essence,automatique,rouge,5,,21 mois,,,non,,6 CV,110 ch,,134 g/kmC,,
3,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S FEEL,15660,78,2018,18/03/2018,requis,84 539 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,115 g/kmB,4.6 l/100km,EURO6
4,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,18210,91,2021,10/01/2022,non requis,30 625 Km,Essence,mécanique,Gris Foncé Métal,5,5,12 mois,,SPOTICAR,oui,,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
5,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S 6CV SHINE BV6,19370,30,2022,28/08/2022,non requis,66 838 Km,Essence,mécanique,Gris Acier (M),5,5,,en cours,,non,,6 CV,110 ch,1,124 g/kmC,5.7 l/100km,EURO6
6,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S BVM6 FEEL,31060,31,2023,13/11/2023,non requis,12 153 Km,Diesel,mécanique,Bleu Foncé Métal,5,7,12 mois,,SPOTICAR,non,,7 CV,130 ch,2,128 g/kmC,4.9 l/100km,EURO6
7,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,17280,30,2022,04/10/2022,non requis,53 467 Km,Essence,mécanique,.,5,5,,en cours,,non,,4 CV,83 ch,1,123 g/kmC,5.7 l/100km,EURO6
8,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S SHINE EAT8,30520,30,2023,05/04/2023,non requis,3 457 Km,Essence,automatique,Gris Acier (M),5,5,12 mois,,SPOTICAR,non,,7 CV,131 ch,1,131 g/kmC,5.8 l/100km,EURO6
9,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S FEEL EAT8,26430,78,2022,21/01/2023,non requis,29 454 Km,Essence,automatique,blanc,5,5,12 mois,,,non,,7 CV,131 ch,1,131 g/kmC,5.7 l/100km,EURO6
10,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S SHINE PACK EAT8,33910,40,2023,04/05/2023,non requis,8 384 Km,Essence,automatique,NOIR PERLA,5,5,12 mois,,SPOTICAR,non,,7 CV,131 ch,1,130 g/kmC,5.7 l/100km,EURO6
11,CITROEN GRAND C4 SPACETOURER,1.2 PURETECH 130 S&S FEEL BV6,30730,91,2020,10/07/2020,non requis,35 564 Km,Essence,mécanique,Gris Foncé,5,7,12 mois,,SPOTICAR,non,,7 CV,131 ch,1,116 g/kmB,5 l/100km,EURO6
12,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S C-SERIES BV6,16030,13,2022,08/09/2022,non requis,50 200 Km,Essence,mécanique,Gris Acier (M),5,5,12 mois,en cours,SPOTICAR,oui,,6 CV,110 ch,1,124 g/kmC,5.7 l/100km,EURO6
13,CITROEN C4 PICASSO 2,II 1.6 BLUEHDI 120 S&S INTENSIVE EAT6,14560,76,2017,22/08/2017,requis,123 773 Km,Diesel,automatique,blanc,5,5,12 mois,,SPOTICAR,non,2,6 CV,120 ch,2,100 g/kmA,3.5 l/100km,EURO6
14,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,17900,76,2022,16/05/2022,non requis,24 182 Km,Essence,mécanique,bleu,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.7 l/100km,EURO6
15,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S 6CV FEEL BV6,18070,76,2021,25/07/2021,non requis,22 718 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,130 g/kmC,5.7 l/100km,EURO6
16,CITROEN C5 AIRCROSS,1.6 HYBRID 225 SHINE E-EAT8,51290,91,2023,30/09/2023,non requis,118 Km,Hybride essence électrique,automatique,BLANC BANQUISE,5,5,24 mois,en cours,SPOTICAR,non,,10 CV,225 ch,1,32 g/kmA,1.4 l/100km,EURO6
17,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S SHINE BV6,26070,40,2023,09/10/2023,non requis,8 312 Km,Essence,mécanique,Gris Clair Métal,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
18,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE PACK BV6,24930,91,2022,21/05/2022,non requis,17 435 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,non,2,6 CV,110 ch,1,138 g/kmC,5.9 l/100km,EURO6
19,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL,17360,69,2021,13/10/2021,non requis,21 901 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,129 g/kmC,5.7 l/100km,EURO6
20,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S LIVE BV6,20100,44,2022,31/12/2022,non requis,29 009 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
21,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 130 S&S SHINE PACK EAT6,28890,92,2023,25/07/2023,non requis,18 627 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,142 g/kmD,6.1 l/100km,EURO6
22,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,20890,69,2022,30/10/2022,non requis,7 535 Km,Essence,mécanique,blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
23,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S FEEL BUSINESS,14220,69,2020,12/05/2020,non requis,98 136 Km,Diesel,mécanique,gris,5,5,8 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,86 g/kmA,3.7 l/100km,EURO6
24,CITROEN C3 PICASSO,(2) 1.4 VTI 95 MILLENIUM,10240,75,2015,31/03/2015,requis,70 021 Km,Essence,mécanique,gris,5,5,8 mois,,SPOTICAR,oui,1,6 CV,95 ch,1,145 g/kmD,5.1 l/100km,EURO5
25,CITROEN C4 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S FEEL EAT6,11750,93,2016,28/09/2016,requis,151 084 Km,Essence,automatique,rouge,5,5,6 mois,,,non,2,7 CV,131 ch,1,117 g/kmB,4.4 l/100km,EURO6
26,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,16630,28,2021,17/01/2022,non requis,30 840 Km,Essence,mécanique,Blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
27,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S SHINE BV6,25260,42,2023,03/01/2024,non requis,10 843 Km,Essence,mécanique,Platinium,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
28,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.2 PURETECH 110 S&S LIVE BV6,27270,75,2022,24/02/2022,non requis,17 176 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,145 g/kmD,6.4 l/100km,EURO6
29,CITROEN C4 PICASSO,(2) 1.6 HDI 110 FAP CONFORT,10880,35,2013,28/04/2013,requis,88 258 Km,Diesel,mécanique,gris,5,5,6 mois,,SPOTICAR,non,3,6 CV,112 ch,2,132 g/kmC,4.5 l/100km,EURO5
30,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,13200,33,2020,10/01/2021,non requis,28 167 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
31,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,13080,33,2020,12/12/2020,non requis,24 321 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
32,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,12630,33,2020,06/03/2020,non requis,34 467 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
33,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,13430,33,2020,18/05/2020,non requis,31 526 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
34,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,12050,33,2020,01/04/2020,non requis,26 847 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
35,CITROEN C3 PICASSO,(2) 1.4 VTI 95 MILLENIUM,10240,75,2015,31/03/2015,requis,70 021 Km,Essence,mécanique,gris,5,5,8 mois,,SPOTICAR,oui,1,6 CV,95 ch,1,145 g/kmD,5.1 l/100km,EURO5
36,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S MILLENIUM 5P,13200,33,2020,10/01/2021,non requis,28 167 Km,Essence,mécanique,Blanc Lipizan - Toit Pacific Green,5,4,12 mois,,SPOTICAR,oui,,3 CV,72 ch,1,85 g/kmA,3.7 l/100km,EURO6
37,CITROEN C4 PICASSO,(2) 1.6 HDI 110 FAP CONFORT,10880,35,2013,28/04/2013,requis,88 258 Km,Diesel,mécanique,gris,5,5,6 mois,,SPOTICAR,non,3,6 CV,112 ch,2,132 g/kmC,4.5 l/100km,EURO5
38,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,16630,28,2021,17/01/2022,non requis,30 840 Km,Essence,mécanique,Blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,96 g/kmA,4.3 l/100km,EURO6
39,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S FEEL PACK BV6,19960,67,2022,08/11/2022,non requis,51 092 Km,Essence,mécanique,Noir,5,5,12 mois,en cours,SPOTICAR,non,,6 CV,110 ch,1,135 g/kmC,5.9 l/100km,EURO6
40,CITROEN C4 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S FEEL EAT6,11750,93,2016,28/09/2016,requis,151 084 Km,Essence,automatique,rouge,5,5,6 mois,,,non,2,7 CV,131 ch,1,117 g/kmB,4.4 l/100km,EURO6
41,CITROEN BERLINGO 3 MULTISPACE,III TAILLE M 1.2 PURETECH 110 S&S LIVE BV6,27270,75,2022,24/02/2022,non requis,17 176 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,1,145 g/kmD,6.4 l/100km,EURO6
42,CITROEN SPACETOURER,TAILLE XL 1.5 BLUEHDI 120 S&S FEEL BV6,45810,14,2022,22/09/2022,non requis,30 360 Km,Diesel,mécanique,BLANC,5,8,12 mois,en cours,,oui,,6 CV,120 ch,2,168 g/kmE,6.4 l/100km,EURO6
43,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S SHINE BVM6,23610,91,2023,17/10/2023,non requis,11 Km,Essence,mécanique,Voltaic Blue (M),5,5,24 mois,,,oui,,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
44,CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 VITAMINE,9770,54,2016,20/02/2016,requis,78 200 Km,Essence,mécanique,GRIS FONCE,5,5,12 mois,,,non,,4 CV,82 ch,1,104 g/kmB,4.5 l/100km,EURO5
45,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 130 S&S C-SERIES EAT6,27370,56,2023,04/07/2023,non requis,4 391 Km,Essence,automatique,Gris Acier (M),5,5,12 mois,,SPOTICAR,oui,,7 CV,130 ch,1,138 g/kmC,6.1 l/100km,EURO6
46,CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE EAT6,25380,56,2019,04/05/2019,non requis,23 254 Km,Essence,automatique,Sable (N),5,5,12 mois,,SPOTICAR,oui,,6 CV,110 ch,1,131 g/kmC,5.7 l/100km,EURO6
47,CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S FEEL BUSINESS BV6,14450,76,2019,19/11/2019,non requis,131 161 Km,Diesel,mécanique,gris,5,5,8 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,97 g/kmA,4 l/100km,EURO6
48,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S SHINE BV6,24050,29,2022,03/11/2022,non requis,34 615 Km,Essence,mécanique,gris,5,5,,en cours,,oui,1,7 CV,131 ch,1,122 g/kmC,5.3 l/100km,EURO6
49,CITROEN BERLINGO 2,II (3) BLUEHDI 100 BVM CLUB M,15940,29,2018,17/06/2018,requis,77 503 Km,Diesel,mécanique,blanc,5,3,6 mois,,,oui,1,5 CV,99 ch,2,112 g/kmB,3.8 l/100km,EURO6
50,CITROEN C4 SPACETOURER,1.5 BLUEHDI 130 S&S BUSINESS EAT8,19240,29,2021,01/10/2021,non requis,85 674 Km,Diesel,automatique,gris,5,5,6 mois,,,oui,1,6 CV,131 ch,2,98 g/kmA,3.9 l/100km,EURO6
51,CITROEN C4 CACTUS,(2) 1.5 BLUEHDI 100 S&S FEEL BUSINESS BV6,15480,35,2020,11/07/2020,non requis,128 589 Km,Diesel,mécanique,vert,5,5,6 mois,,,oui,1,5 CV,102 ch,2,92 g/kmA,3.5 l/100km,EURO6
52,CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S SHINE BV6,26770,31,2020,13/05/2020,non requis,83 764 Km,Diesel,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,6 CV,131 ch,2,106 g/kmB,4.1 l/100km,EURO6
53,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,20500,12,2022,19/01/2023,non requis,41 321 Km,Essence,automatique,GRIS ACIER/ TOIT N,5,5,,en cours,,non,,6 CV,110 ch,1,133 g/kmC,6 l/100km,EURO6
54,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S LIVE BV6,28190,45,2020,17/08/2020,non requis,40 757 Km,Essence,mécanique,Gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,118 g/kmB,5.3 l/100km,EURO6
55,CITROEN C1 (2E GENERATION),II 1.0 VTI 72 S&S 4CV FEEL 5P,12700,45,2022,07/06/2022,non requis,40 946 Km,Essence,mécanique,Gris,5,4,12 mois,en cours,SPOTICAR,oui,1,4 CV,72 ch,1,110 g/kmB,4.8 l/100km,EURO6
56,CITROEN BERLINGO 2 MULTISPACE,II (3) PURETECH 110 S&S FEEL,22030,24,2019,12/11/2019,non requis,60 810 Km,Essence,mécanique,Gris acier (metallis,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,119 g/kmB,5.1 l/100km,EURO6
57,CITROEN JUMPER 2,II (2) 35 L2H2 BLUEHDI 165 S&S BVM6 CLUB,45490,81,2024,14/01/2025,non requis,12 Km,Diesel,mécanique,BLANC ICY,4,3,,,,non,,7 CV,165 ch,2,240 g/kmF,9 l/100km,EURO6
58,CITROEN JUMPER 2,II (2) 30 L2H2 BLUEHDI 140 S&S BVM6 CLUB,31480,35,2022,04/11/2022,non requis,31 962 Km,Diesel,mécanique,blanc,4,3,,en cours,,oui,1,7 CV,140 ch,2,239 g/kmF,,EURO6
59,CITROEN C5 X,1.6 HYBRID 225 S&S SHINE E-EAT8,53660,64,2023,14/07/2023,non requis,244 Km,Hybride essence électrique,automatique,NOIR PERLA NERA,5,5,,,,non,,10 CV,225 ch,1,30 g/kmA,,EURO6
60,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S SHINE EAT8,32080,82,2023,14/03/2023,non requis,11 Km,Essence,automatique,NOIR PERLA NERA,5,5,,,,non,,7 CV,131 ch,1,131 g/kmC,5.8 l/100km,EURO6
61,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 110 S&S FEEL BVM6,27730,72,2023,31/07/2023,non requis,11 Km,Diesel,mécanique,BLANC BANQUISE,5,5,,,,non,,6 CV,110 ch,2,114 g/kmB,4.3 l/100km,EURO6
62,CITROEN C3 AIRCROSS,1.2 PURETECH 110 6CV S&S FEEL BV6,17620,29,2021,02/03/2021,non requis,26 284 Km,Essence,mécanique,rouge,5,5,6 mois,,,oui,1,6 CV,110 ch,1,141 g/kmD,6.2 l/100km,EURO6
63,CITROEN C4 (3E GENERATION),III 1.2 PURETECH 130 S&S SHINE BV6,28890,03,2023,23/04/2023,non requis,12 504 Km,Essence,mécanique,Gris Acier (métallisé),5,5,12 mois,,SPOTICAR,non,,7 CV,131 ch,1,121 g/kmC,5.4 l/100km,EURO6
64,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE EAT6,20500,12,2022,19/01/2023,non requis,41 321 Km,Essence,automatique,GRIS ACIER/ TOIT N,5,5,,en cours,,non,,6 CV,110 ch,1,133 g/kmC,6 l/100km,EURO6
65,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S LIVE BV6,28190,45,2020,17/08/2020,non requis,40 757 Km,Essence,mécanique,Gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,118 g/kmB,5.3 l/100km,EURO6
66,CITROEN BERLINGO 2 MULTISPACE,II (3) PURETECH 110 S&S FEEL,22030,24,2019,12/11/2019,non requis,60 810 Km,Essence,mécanique,Gris acier (metallis,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,119 g/kmB,5.1 l/100km,EURO6
67,CITROEN C3 AIRCROSS,(2) 1.2 PURETECH 110 S&S FEEL BVM6,23080,72,2023,27/02/2023,non requis,11 Km,Essence,mécanique,GRIS ACIER,5,5,,,,non,,6 CV,110 ch,1,132 g/kmC,5.8 l/100km,EURO6
