,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV GT LINE EAT8,27980,75,2021,04/05/2021,non requis,21 925 Km,Essence,automatique,jaune,5,5,12 mois,,SPOTICAR,non,2,7 CV,131 ch,1,101 g/kmB,5.7 l/100km,EURO6
1,PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.2 PURETECH 110 S&S TECH EDITION,21810,93,2019,14/11/2019,non requis,40 811 Km,Essence,mécanique,gris,5,5,12 mois,,SPOTICAR,non,3,6 CV,110 ch,1,113 g/kmB,5 l/100km,EURO6
2,PEUGEOT 208,(2) 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS 5P E6,12680,11,2019,28/05/2019,non requis,144 364 Km,Diesel,mécanique,blanc,5,2,12 mois,,,oui,1,5 CV,99 ch,2,90 g/kmA,3 l/100km,EURO6
3,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,19780,31,2021,18/12/2021,non requis,17 694 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,119 g/kmB,5.2 l/100km,EURO6
4,PEUGEOT 3008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S GT LINE EAT8,32370,11,2021,07/10/2021,non requis,90 261 Km,Diesel,automatique,noir,5,5,12 mois,,,non,2,6 CV,131 ch,2,102 g/kmB,4 l/100km,EURO6
5,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S LIKE,16340,13,2021,26/12/2021,non requis,22 418 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,124 g/kmC,5.3 l/100km,EURO6
6,PEUGEOT EXPERT 2 FOURGON,II FOURGON VITRE CONFORT 229 L1H1 1.6 HDI 90,9600,66,2009,10/05/2009,requis,250 642 Km,Diesel,mécanique,blanc,4,3,6 mois,,,non,2,5 CV,90 ch,3,191 g/kmE,6.6 l/100km,EURO4
7,PEUGEOT 308 (2E GENERATION),II (2) 1.2 PURETECH 130 S&S ALLURE EAT8,20340,76,2019,28/06/2019,non requis,36 484 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,117 g/kmB,5.1 l/100km,EURO6
8,PEUGEOT 308,(2) 1.6 THP 200 GTI,11180,10,2012,05/11/2012,requis,141 126 Km,Essence,mécanique,blanc,5,5,12 mois,,,non,4,12 CV,200 ch,1,159 g/kmD,5.5 l/100km,EURO5
9,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE PACK,22030,76,2022,07/09/2022,non requis,14 246 Km,Essence,mécanique,rouge,5,5,12 mois,en cours,SPOTICAR,non,4,5 CV,100 ch,2,118 g/kmB,5.3 l/100km,EURO4
10,PEUGEOT 3008 (2E GENERATION),ALLURE 1.2 PURETECH S&S 130CH AUTOMATIQUE,31040,77,2020,31/10/2020,non requis,26 836 Km,Essence,automatique,gris,5,,12 mois,,,non,,7 CV,130 ch,,109 g/kmB,,
11,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S EAT8 ALLURE PACK,26390,77,2023,19/12/2023,non requis,11 Km,Essence,automatique,gris clair,5,5,24 mois,,,non,,7 CV,130 ch,1,120 g/kmB,5.3 l/100km,EURO6
12,PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 155 S&S GT PACK EAT8,35830,77,2023,08/12/2023,non requis,11 Km,Essence,automatique,bleu,5,5,12 mois,,,oui,,8 CV,155 ch,1,139 g/kmC,6.2 l/100km,EURO6
13,PEUGEOT 308 (2E GENERATION) GTI,II (2) 1.6 PURETECH 263 S&S GTI BY PEUGEOT SPORT,35670,33,2020,15/10/2020,non requis,50 500 Km,Essence,mécanique,gris foncé,5,5,12 mois,,,non,6,16 CV,263 ch,1,148 g/kmD,6.5 l/100km,EURO6
14,PEUGEOT 208,1.0 PURETECH 68 LIKE 3P,10290,75,2016,17/02/2016,requis,76 684 Km,Essence,mécanique,blanc,3,5,12 mois,,,non,,4 CV,68 ch,1,99 g/kmA,3.8 l/100km,EURO5
15,PEUGEOT 308 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV ALLURE EAT8,23630,76,2021,16/08/2021,non requis,42 565 Km,Diesel,automatique,blanc,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,123 g/kmC,4.6 l/100km,EURO6
16,PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S LIKE,16340,13,2021,26/12/2021,non requis,22 418 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,75 ch,1,124 g/kmC,5.3 l/100km,EURO6
17,PEUGEOT 208,(2) 1.5 BLUEHDI 100 S&S ACTIVE BUSINESS 5P E6,12680,11,2019,28/05/2019,non requis,144 364 Km,Diesel,mécanique,blanc,5,2,12 mois,,,oui,1,5 CV,99 ch,2,90 g/kmA,3 l/100km,EURO6
